[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ethinylestradiol.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Streptokinase.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, Ethinylestradiol may increase the thrombogenic activities of Antithymocyte immunoglobulin (rabbit).]
[J01CA16, sulbenicillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Ethinylestradiol.]
[S01AB01, sulfamethizole, The metabolism of Ethinylestradiol can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, Ethinylestradiol may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[J01EC03, sulfamoxole, The metabolism of Ethinylestradiol can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Ethinylestradiol can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, Ethinylestradiol may decrease the excretion rate of Sulfinpyrazone which could result in a higher serum level.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Ethinylestradiol.]
[N03AX03, sulthiame, The metabolism of Ethinylestradiol can be increased when combined with Sulthiame.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Ethinylestradiol.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Ethinylestradiol.]
[N06DA01, tacrine, The metabolism of Ethinylestradiol can be decreased when combined with Tacrine.]
[J01CA15, talampicillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Talampicillin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Ethinylestradiol.]
[N05CD07, temazepam, Ethinylestradiol may increase the excretion rate of Temazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Ethinylestradiol.]
[B01AE07, dabigatran etexilate, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Ethinylestradiol can be increased when combined with Testosterone.]
[S03AA02, tetracycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Tetracycline.]
[A04AD10, dronabinol, The metabolism of Ethinylestradiol can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Ethinylestradiol.]
[L04AX02, thalidomide, Ethinylestradiol may increase the thrombogenic activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Ethinylestradiol.]
[R03DA04, theophylline, Ethinylestradiol may decrease the excretion rate of Theophylline which could result in a higher serum level.]
[P02CA02, thiabendazole, The metabolism of Ethinylestradiol can be decreased when combined with Thiabendazole.]
[N05CA19, thiopental, The metabolism of Ethinylestradiol can be increased when combined with Thiopental.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Ethinylestradiol.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Ethinylestradiol.]
[J01CA13, ticarcillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Ticarcillin.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Ethinylestradiol.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Ethinylestradiol.]
[P01AB02, tinidazole, Ethinylestradiol may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Ethinylestradiol.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Ethinylestradiol.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Ethinylestradiol.]
[B02AA02, tranexamic acid, Ethinylestradiol may increase the thrombogenic activities of Tranexamic acid.]
[N06AF04, tranylcypromine, The metabolism of Ethinylestradiol can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The metabolism of Ethinylestradiol can be decreased when combined with Trazodone.]
[L01XF01, tretinoin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be decreased when combined with Ethinylestradiol.]
[C03DB02, triamterene, The metabolism of Ethinylestradiol can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The metabolism of Ethinylestradiol can be decreased when combined with Triazolam.]
[N05AB06, trifluoperazine, The metabolism of Ethinylestradiol can be decreased when combined with Trifluoperazine.]
[S01AD02, trifluridine, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Trifluridine.]
[D07AC02, fluclorolone, The serum concentration of Fluclorolone can be increased when it is combined with Ethinylestradiol.]
[R03BA07, mometasone, The serum concentration of Mometasone can be increased when it is combined with Ethinylestradiol.]
[N03AC02, trimethadione, The metabolism of Ethinylestradiol can be increased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Ethinylestradiol can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Ethinylestradiol.]
[J01FA08, troleandomycin, The metabolism of Ethinylestradiol can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Ethinylestradiol.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Ethinylestradiol.]
[L04AA26, belimumab, Ethinylestradiol may increase the thrombogenic activities of Belimumab.]
[L01FX04, ipilimumab, Ethinylestradiol may increase the thrombogenic activities of Ipilimumab.]
[L02BX03, abiraterone, The serum concentration of Ethinylestradiol can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Ethinylestradiol.]
[J05AP03, boceprevir, The serum concentration of Ethinylestradiol can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Ethinylestradiol can be decreased when it is combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Ethinylestradiol can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Urokinase.]
[N03AX21, ezogabine, The metabolism of Ethinylestradiol can be increased when combined with Ezogabine.]
[B01AF01, rivaroxaban, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Rivaroxaban.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be increased when combined with Ethinylestradiol.]
[B01AC24, ticagrelor, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Ethinylestradiol can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Ethinylestradiol can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, Ethinylestradiol may decrease the excretion rate of Vinblastine which could result in a higher serum level.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Ethinylestradiol.]
[S01XA02, vitamin A, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Vitamin A.]
[A11HA03, vitamin E, The metabolism of Ethinylestradiol can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Warfarin.]
[J05AF01, zidovudine, The metabolism of Ethinylestradiol can be increased when combined with Zidovudine.]
[J05AE02, indinavir, The metabolism of Ethinylestradiol can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The metabolism of Ethinylestradiol can be increased when combined with Levetiracetam.]
[L01EC01, vemurafenib, The serum concentration of Ethinylestradiol can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, Ethinylestradiol may increase the thrombogenic activities of Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Ethinylestradiol.]
[B01AE01, desirudin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Ethinylestradiol can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Ethinylestradiol.]
[S01XA15, ascorbic acid, The serum concentration of Ascorbic acid can be decreased when it is combined with Ethinylestradiol.]
[J01MA13, trovafloxacin, The metabolism of Ethinylestradiol can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The metabolism of Ethinylestradiol can be decreased when combined with Ziprasidone.]
[L04AA34, alemtuzumab, Ethinylestradiol may increase the thrombogenic activities of Alemtuzumab.]
[N02BA01, aspirin, The metabolism of Ethinylestradiol can be decreased when combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Ethinylestradiol.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Ethinylestradiol.]
[C07AB03, atenolol, Ethinylestradiol may decrease the excretion rate of Atenolol which could result in a higher serum level.]
[L03AB11, peginterferon alfa-2a, The metabolism of Ethinylestradiol can be decreased when combined with Peginterferon alfa-2a.]
[L01FA01, rituximab, Ethinylestradiol may increase the thrombogenic activities of Rituximab.]
[J02AC03, voriconazole, The serum concentration of Voriconazole can be increased when it is combined with Ethinylestradiol.]
[S01FA01, atropine, Ethinylestradiol may decrease the excretion rate of Atropine which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Ethinylestradiol.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Ethinylestradiol.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Ethinylestradiol.]
[H02AB11, prednylidene, The serum concentration of Prednylidene can be increased when it is combined with Ethinylestradiol.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Ethinylestradiol.]
