[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Medroxyprogesterone acetate.]
[G03XB02, ulipristal, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Ulipristal.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Streptokinase.]
[J01GA01, streptomycin, Medroxyprogesterone acetate may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01CG01, sulbactam, Medroxyprogesterone acetate may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01CA16, sulbenicillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Medroxyprogesterone acetate.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Medroxyprogesterone acetate.]
[M04AB02, sulfinpyrazone, The metabolism of Medroxyprogesterone acetate can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Medroxyprogesterone acetate.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N03AX03, sulthiame, The metabolism of Medroxyprogesterone acetate can be increased when combined with Sulthiame.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Medroxyprogesterone acetate.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Medroxyprogesterone acetate.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01CA15, talampicillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Talampicillin.]
[L02BA01, tamoxifen, The serum concentration of Tamoxifen can be decreased when it is combined with Medroxyprogesterone acetate.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Medroxyprogesterone acetate.]
[R03CC03, terbutaline, Medroxyprogesterone acetate may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Medroxyprogesterone acetate can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Tetracaine.]
[S03AA02, tetracycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Medroxyprogesterone acetate.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Medroxyprogesterone acetate.]
[L04AX02, thalidomide, Medroxyprogesterone acetate may increase the thrombogenic activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, Medroxyprogesterone acetate may decrease the excretion rate of Theophylline which could result in a higher serum level.]
[P02CA02, thiabendazole, Medroxyprogesterone acetate may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Medroxyprogesterone acetate.]
[N05CA19, thiopental, The metabolism of Medroxyprogesterone acetate can be increased when combined with Thiopental.]
[G04BE06, moxisylyte, Medroxyprogesterone acetate may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Medroxyprogesterone acetate may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[J01CA13, ticarcillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Ticarcillin.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[P01AB02, tinidazole, Medroxyprogesterone acetate may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Medroxyprogesterone acetate may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Medroxyprogesterone acetate.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Medroxyprogesterone acetate.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Medroxyprogesterone acetate.]
[B02AA02, tranexamic acid, Medroxyprogesterone acetate may increase the thrombogenic activities of Tranexamic acid.]
[L01XF01, tretinoin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Tretinoin.]
[S01BA05, triamcinolone, The serum concentration of Triamcinolone can be increased when it is combined with Medroxyprogesterone acetate.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Medroxyprogesterone acetate may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Medroxyprogesterone acetate may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Trifluridine.]
[D07AC02, fluclorolone, The serum concentration of Fluclorolone can be increased when it is combined with Medroxyprogesterone acetate.]
[R03BA07, mometasone, The serum concentration of Mometasone can be increased when it is combined with Medroxyprogesterone acetate.]
[A03AA05, trimebutine, Medroxyprogesterone acetate may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[N03AC02, trimethadione, The metabolism of Medroxyprogesterone acetate can be increased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Medroxyprogesterone acetate.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Medroxyprogesterone acetate.]
[J01FA08, troleandomycin, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be increased when combined with Medroxyprogesterone acetate.]
[L01FX04, ipilimumab, Medroxyprogesterone acetate may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Medroxyprogesterone acetate.]
[R02AA14, oxyquinoline, Medroxyprogesterone acetate may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Medroxyprogesterone acetate.]
[J05AP03, boceprevir, The serum concentration of Medroxyprogesterone acetate can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Telaprevir.]
