[S02DA03, antipyrine, The metabolism of Methyltestosterone can be decreased when combined with Antipyrine.]
[J01GA01, streptomycin, Methyltestosterone may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01CG01, sulbactam, Methyltestosterone may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Methyltestosterone may increase the hypoglycemic activities of Sulfadiazine.]
[J01EC01, sulfamethoxazole, Methyltestosterone may increase the hypoglycemic activities of Sulfamethoxazole.]
[S01AB02, sulfisoxazole, Methyltestosterone may increase the hypoglycemic activities of Sulfisoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BB04, glibornuride, Methyltestosterone may increase the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Methyltestosterone may increase the hypoglycemic activities of Glymidine.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01BB02, mercaptopurine, The excretion of Mercaptopurine can be increased when combined with Methyltestosterone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Methyltestosterone.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Dabigatran etexilate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Tetracaine.]
[S03AA02, tetracycline, The excretion of Tetracycline can be increased when combined with Methyltestosterone.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A04AD10, dronabinol, The metabolism of Methyltestosterone can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The metabolism of Methyltestosterone can be decreased when combined with Apomorphine.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Methyltestosterone can be decreased when combined with Thiotepa.]
[G04BE06, moxisylyte, Methyltestosterone may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Methyltestosterone may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Methyltestosterone can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01AA12, tobramycin, Methyltestosterone may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Methyltestosterone may increase the hypoglycemic activities of Tolazamide.]
[V04CA01, tolbutamide, Methyltestosterone may increase the hypoglycemic activities of Tolbutamide.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Methyltestosterone can be decreased when combined with Tramadol.]
[L01XF01, tretinoin, The metabolism of Methyltestosterone can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Methyltestosterone may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, The excretion of Trifluridine can be increased when combined with Methyltestosterone.]
[D07AC02, fluclorolone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Mometasone.]
[A03AA05, trimebutine, Methyltestosterone may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01FA08, troleandomycin, The metabolism of Methyltestosterone can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, Roflumilast may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01FX04, ipilimumab, Ipilimumab may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R02AA14, oxyquinoline, Methyltestosterone may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Methyltestosterone can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Methyltestosterone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Methyltestosterone can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Methyltestosterone can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Methyltestosterone may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ezogabine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[B01AF01, rivaroxaban, Rivaroxaban may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C08DA01, verapamil, The metabolism of Methyltestosterone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Methyltestosterone can be decreased when combined with Viloxazine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[B01AA03, warfarin, Methyltestosterone may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Methyltestosterone can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The excretion of Zidovudine can be increased when combined with Methyltestosterone.]
[J05AE02, indinavir, The metabolism of Methyltestosterone can be decreased when combined with Indinavir.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Methyltestosterone can be decreased when combined with Crizotinib.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05AE04, ziprasidone, The metabolism of Methyltestosterone can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Methyltestosterone may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Methyltestosterone may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Tolterodine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DH04, doripenem, The excretion of Doripenem can be increased when combined with Methyltestosterone.]
[J02AC03, voriconazole, The metabolism of Methyltestosterone can be decreased when combined with Voriconazole.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[H02AB11, prednylidene, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Methyltestosterone.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Methyltestosterone.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A08AA11, lorcaserin, The metabolism of Methyltestosterone can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, Methyltestosterone may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[V03AX03, cobicistat, The metabolism of Methyltestosterone can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Methyltestosterone can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Methyltestosterone can be decreased when it is combined with Enzalutamide.]
[H02AA01, aldosterone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Aldosterone.]
[D02BA02, octinoxate, Methyltestosterone may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Methyltestosterone can be decreased when combined with Nelfinavir.]
[N04BD02, rasagiline, Rasagiline may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Methyltestosterone.]
[V09IX04, fluorodeoxyglucose F18, Methyltestosterone may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A16AX08, teduglutide, Methyltestosterone may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Methyltestosterone may increase the hypoglycemic activities of Alogliptin.]
[A16AX09, glycerol phenylbutyrate, Methyltestosterone may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Methyltestosterone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[G03XC05, ospemifene, The metabolism of Methyltestosterone can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE05, insulin detemir, Methyltestosterone may increase the hypoglycemic activities of Insulin detemir.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Benzocaine.]
[A10BX05, pramlintide, Methyltestosterone may increase the hypoglycemic activities of Pramlintide.]
[L03AA12, ancestim, Methyltestosterone may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Methyltestosterone can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01EE01, trametinib, Methyltestosterone may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Methyltestosterone may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Methyltestosterone may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[A10BJ03, lixisenatide, Methyltestosterone may increase the hypoglycemic activities of Lixisenatide.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be increased when combined with Methyltestosterone.]
[C02KX04, macitentan, Methyltestosterone may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Methyltestosterone.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AP05, simeprevir, The metabolism of Methyltestosterone can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Methyltestosterone may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Droxidopa may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CH03, tasimelteon, Methyltestosterone may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[A16AA07, metreleptin, The metabolism of Methyltestosterone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Methyltestosterone can be increased when combined with Apremilast.]
[L02BG02, formestane, Methyltestosterone may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Betamethasone.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BJ04, albiglutide, Methyltestosterone may increase the hypoglycemic activities of Albiglutide.]
[L04AC11, siltuximab, The metabolism of Methyltestosterone can be increased when combined with Siltuximab.]
[B01AA07, acenocoumarol, Methyltestosterone may increase the anticoagulant activities of Acenocoumarol.]
[A10BK03, empagliflozin, Methyltestosterone may increase the hypoglycemic activities of Empagliflozin.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BJ05, dulaglutide, Methyltestosterone may increase the hypoglycemic activities of Dulaglutide.]
[S03AA06, gentamicin, Methyltestosterone may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AA01, dicumarol, Methyltestosterone may increase the anticoagulant activities of Dicoumarol.]
[B01AF03, edoxaban, Methyltestosterone may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[L04AC10, secukinumab, The metabolism of Methyltestosterone can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[B01AA11, tioclomarol, Methyltestosterone may increase the anticoagulant activities of Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Methyltestosterone.]
[A07DA06, eluxadoline, The excretion of Eluxadoline can be increased when combined with Methyltestosterone.]
[A10BF01, acarbose, Methyltestosterone may increase the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, Methyltestosterone may increase the hypoglycemic activities of Insulin degludec.]
[V03AB37, idarucizumab, Methyltestosterone may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The metabolism of Methyltestosterone can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Methyltestosterone.]
[L01XG03, ixazomib, Methyltestosterone may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, Methyltestosterone may increase the hypoglycemic activities of Acetohexamide.]
[M04AB05, lesinurad, Methyltestosterone may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Methyltestosterone can be decreased when combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Methyltestosterone can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Bromazepam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
