[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Resveratrol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Antipyrine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Antithrombin Alfa.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Antithrombin III human.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Streptokinase.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Antithymocyte immunoglobulin (rabbit).]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Sulfadiazine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Sulindac may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Glibornuride can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Azapropazone may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Mercaptopurine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Mercaptopurine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Tacrine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Tamoxifen can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Temazepam may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Dabigatran etexilate.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Testolactone which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Testosterone propionate.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be increased when combined with Testosterone.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be increased when combined with Testosterone enanthate.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Testosterone undecanoate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Tetracycline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Ceftaroline fosamil may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Ceftaroline fosamil may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Dronabinol.]
[G03CA57, estrogens, conjugated (USP), The excretion of Ellagic acid can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Thalidomide.]
[G03CA57, estrogens, conjugated (USP), Theobromine may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Theophylline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Thiabendazole.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Thiothixene can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Ticlopidine.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Timolol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Timolol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Tolazamide can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Tolmetin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Tramadol may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Triamcinolone can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Triamterene may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Trichlormethiazide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Trifluoperazine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Trifluridine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Liothyronine can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Trimethoprim which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Trimipramine can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Troleandomycin.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Azilsartan medoxomil.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Azilsartan medoxomil.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Roflumilast can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Belimumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Ipilimumab.]
[G03CA57, estrogens, conjugated (USP), Vandetanib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be increased when it is combined with Abiraterone.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Linagliptin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Boceprevir.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Telaprevir.]
[G03CA57, estrogens, conjugated (USP), Rilpivirine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Urokinase.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Rivaroxaban.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Ticagrelor.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Verapamil.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Viloxazine.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Vinblastine.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Vincristine.]
[G03CA57, estrogens, conjugated (USP), Cyanocobalamin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Warfarin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Fusidic acid.]
[G03CA57, estrogens, conjugated (USP), Xipamide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The excretion of Zidovudine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Sodium citrate.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Indinavir.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Indinavir.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be increased when it is combined with Vemurafenib.]
[G03CA57, estrogens, conjugated (USP), Pamidronic acid may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Pamidronic acid may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Brentuximab vedotin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Icatibant.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Crizotinib.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Lepirudin.]
[G03CA57, estrogens, conjugated (USP), Rabeprazole may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Ascorbic acid can be decreased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Trovafloxacin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Ziprasidone.]
[G03CA57, estrogens, conjugated (USP), Drospirenone may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Alemtuzumab.]
[G03CA57, estrogens, conjugated (USP), The excretion of Tenofovir can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Tenofovir can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Acetylsalicylic acid.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Doripenem can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Peginterferon alfa-2a.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Rituximab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Rituximab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Rituximab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Rituximab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Voriconazole.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Tocopherol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Vismodegib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Axitinib can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Prednylidene can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Robenacoxib may increase the thrombogenic activities of Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Azathioprine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Bacitracin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Bacitracin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Avanafil can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Baclofen may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Gemtuzumab ozogamicin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Pertuzumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Lorcaserin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Aclidinium which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Bicisate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Cobicistat.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Elvitegravir.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be decreased when it is combined with Enzalutamide.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with St. John's Wort.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be decreased when it is combined with Teriflunomide.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Xanthine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Defibrotide.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Chromium gluconate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Aspartame.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of DL-Methylephedrine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of DL-Methylephedrine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Aldosterone can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Regorafenib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Hesperetin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Cyclic adenosine monophosphate can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Fanolesomab.]
[G03CA57, estrogens, conjugated (USP), Potassium cation may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
