[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Progesterone.]
[G03XB02, ulipristal, The therapeutic efficacy of Progesterone can be decreased when used in combination with Ulipristal.]
[B01AD01, streptokinase, The therapeutic efficacy of Streptokinase can be decreased when used in combination with Progesterone.]
[J01CA16, sulbenicillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Progesterone.]
[S01AB01, sulfamethizole, The metabolism of Progesterone can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, Progesterone may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[J01EC03, sulfamoxole, The metabolism of Progesterone can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Progesterone can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, Progesterone may decrease the excretion rate of Sulfinpyrazone which could result in a higher serum level.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Progesterone.]
[N03AX03, sulthiame, The metabolism of Progesterone can be increased when combined with Sulthiame.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Progesterone.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Progesterone.]
[J01CA15, talampicillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Talampicillin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Progesterone.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Progesterone.]
[B01AE07, dabigatran etexilate, The therapeutic efficacy of Dabigatran etexilate can be decreased when used in combination with Progesterone.]
[G03BA03, testosterone, Progesterone may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Progesterone.]
[S03AA02, tetracycline, The serum concentration of Progesterone can be decreased when it is combined with Tetracycline.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Progesterone.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Progesterone.]
[L04AX02, thalidomide, Progesterone may increase the thrombogenic activities of Thalidomide.]
