[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Cyproterone acetate.]
[G03XB02, ulipristal, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Ulipristal.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Streptokinase.]
[J01CA16, sulbenicillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Cyproterone acetate.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Cyproterone acetate.]
[M04AB02, sulfinpyrazone, The metabolism of Cyproterone acetate can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Cyproterone acetate.]
[N03AX03, sulthiame, The metabolism of Cyproterone acetate can be increased when combined with Sulthiame.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Cyproterone acetate.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Cyproterone acetate.]
[N06DA01, tacrine, The metabolism of Tacrine can be increased when combined with Cyproterone acetate.]
[J01CA15, talampicillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Talampicillin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Cyproterone acetate.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Cyproterone acetate.]
[B01AE07, dabigatran etexilate, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Cyproterone acetate can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Tetracaine.]
[S03AA02, tetracycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Tetracycline.]
