[P02BB01, trichlorfon, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01GA01, streptomycin, Flavoxate may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01CG01, sulbactam, Flavoxate may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Sulfamethoxazole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AL01, sulpiride, Flavoxate may increase the anticholinergic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06DA01, tacrine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Tacrine.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R03CC03, terbutaline, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Terbutaline.]
[B01AE07, dabigatran etexilate, Flavoxate may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AE05, lurasidone, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A04AD10, dronabinol, The risk or severity of Tachycardia and drowsiness can be increased when Flavoxate is combined with Dronabinol.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L04AX02, thalidomide, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L01AC01, thiotepa, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Thiotepa.]
[N05CA19, thiopental, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AB08, thioproperazine, Thioproperazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AC02, thioridazine, Thioridazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
