[P02BB01, trichlorfon, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Oxybutynin.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Oxybutynin.]
[N05AL01, sulpiride, Oxybutynin may increase the anticholinergic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06DA01, tacrine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Oxybutynin.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Oxybutynin.]
[R03CC03, terbutaline, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Terbutaline.]
[G03BA03, testosterone, The metabolism of Oxybutynin can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Oxybutynin.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AE05, lurasidone, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Oxybutynin.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AX02, thalidomide, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Oxybutynin.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Oxybutynin.]
[N05CA19, thiopental, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AB08, thioproperazine, Thioproperazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AC02, thioridazine, Thioridazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Oxybutynin.]
[B02AB01, aprotinin, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Aprotinin.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Oxybutynin.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Oxybutynin.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Oxybutynin.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Oxybutynin.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AX05, trazodone, Trazodone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Oxybutynin.]
[S01BA05, triamcinolone, The metabolism of Oxybutynin can be increased when combined with Triamcinolone.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
