[P02BB01, trichlorfon, The therapeutic efficacy of Trospium can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Trospium.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AL01, sulpiride, Trospium may increase the anticholinergic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06DA01, tacrine, The therapeutic efficacy of Trospium can be decreased when used in combination with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Trospium.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03CC03, terbutaline, The therapeutic efficacy of Trospium can be decreased when used in combination with Terbutaline.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Trospium.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AE05, lurasidone, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A04AD10, dronabinol, The risk or severity of Tachycardia and drowsiness can be increased when Trospium is combined with Dronabinol.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L04AX02, thalidomide, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Trospium.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01AC01, thiotepa, The therapeutic efficacy of Trospium can be decreased when used in combination with Thiotepa.]
[N05CA19, thiopental, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AB08, thioproperazine, Thioproperazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AC02, thioridazine, Thioridazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Trospium.]
[B02AB01, aprotinin, The therapeutic efficacy of Trospium can be decreased when used in combination with Aprotinin.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Trospium.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Trospium is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Trospium.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Trospium.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AX05, trazodone, Trazodone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C03AA06, trichlormethiazide, The serum concentration of Trichlormethiazide can be increased when it is combined with Trospium.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Trospium is combined with Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Trospium can be decreased when used in combination with Demecarium.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AA05, triflupromazine, Triflupromazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trospium is combined with Trihexyphenidyl.]
[A03AA05, trimebutine, The risk or severity of adverse effects can be increased when Trospium is combined with Trimebutine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trospium is combined with Trimethaphan.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Trospium.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Trospium is combined with Butylscopolamine.]
[N06AX24, vilazodone, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Trospium is combined with Tropicamide.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S01AA05, tyrothricin, The therapeutic efficacy of Trospium can be decreased when used in combination with Tyrothricin.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03AC18, indacaterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Indacaterol.]
[N06AX09, viloxazine, Viloxazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AF05, zuclopenthixol, Zuclopenthixol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AE04, ziprasidone, Ziprasidone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[G04BD07, tolterodine, The risk or severity of adverse effects can be increased when Trospium is combined with Tolterodine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Trospium.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Trospium is combined with Atropine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A08AA11, lorcaserin, Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Trospium is combined with Mirabegron.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Trospium.]
[C01CA18, octopamine, The risk or severity of Tachycardia can be increased when Trospium is combined with Octopamine.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04BD02, rasagiline, Rasagiline may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06DA02, donepezil, The therapeutic efficacy of Trospium can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Trospium is combined with Thonzylamine.]
[G04BD10, darifenacin, The risk or severity of adverse effects can be increased when Trospium is combined with Darifenacin.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Trospium.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Trospium.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Trospium.]
[C03AA01, bendroflumethiazide, The serum concentration of Bendroflumethiazide can be increased when it is combined with Trospium.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A06AX06, tegaserod, The therapeutic efficacy of Tegaserod can be decreased when used in combination with Trospium.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Trospium.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Trospium.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Trospium is combined with Benzatropine.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Trospium.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Trospium.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Trospium.]
[C01CA27, droxidopa, The risk or severity of Tachycardia can be increased when Trospium is combined with Droxidopa.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Trospium.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A16AA06, betaine, The therapeutic efficacy of Trospium can be decreased when used in combination with Betaine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Trospium.]
[C02CC01, bethanidine, The risk or severity of Tachycardia can be increased when Trospium is combined with Bethanidine.]
[A03BA03, hyoscyamine, The risk or severity of adverse effects can be increased when Trospium is combined with Hyoscyamine.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03AC19, olodaterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Olodaterol.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Trospium is combined with Glycopyrronium.]
[N05CM19, suvorexant, Suvorexant may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Trospium.]
[N05AA04, acepromazine, Acepromazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[V04CX03, methacholine, Trospium may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Trospium.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Trospium is combined with Naloxegol.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Trospium is combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Trospium.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Trospium.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Trospium.]
[N06AX11, mirtazapine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Trospium.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Trospium is combined with Difemerine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Trospium.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Trospium is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Trospium.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Trospium.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04BC01, bromocriptine, Bromocriptine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Trospium.]
[N07BC01, buprenorphine, The risk or severity of adverse effects can be increased when Trospium is combined with Buprenorphine.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06DA03, rivastigmine, The therapeutic efficacy of Trospium can be decreased when used in combination with Rivastigmine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Trospium is combined with Butorphanol.]
[S01GX07, azelastine, Azelastine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Trospium.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Trospium.]
[R03CC12, bambuterol, The therapeutic efficacy of Trospium can be decreased when used in combination with Bambuterol.]
