[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Yohimbine is combined with Antipyrine.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Yohimbine.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Yohimbine.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Yohimbine.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Yohimbine is combined with Sulthiame.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Yohimbine is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Yohimbine.]
[N05CD07, temazepam, The therapeutic efficacy of Temazepam can be increased when used in combination with Yohimbine.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Terbutaline is combined with Yohimbine.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Yohimbine.]
[L04AX02, thalidomide, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Yohimbine.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Yohimbine.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Yohimbine.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Yohimbine can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Yohimbine is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Yohimbine.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Yohimbine is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Yohimbine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Yohimbine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Tilidine.]
[S01ED01, timolol, Yohimbine may decrease the antihypertensive activities of Timolol.]
[M02AX02, tolazoline, Yohimbine may decrease the antihypertensive activities of Tolazoline.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Yohimbine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Yohimbine is combined with Tramadol.]
[N06AF04, tranylcypromine, The therapeutic efficacy of Tranylcypromine can be increased when used in combination with Yohimbine.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Yohimbine.]
[N05CD05, triazolam, The therapeutic efficacy of Triazolam can be increased when used in combination with Yohimbine.]
[C03AA06, trichlormethiazide, Yohimbine may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Yohimbine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Yohimbine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Yohimbine.]
[C02BA01, trimethaphan, Yohimbine may decrease the antihypertensive activities of Trimethaphan.]
[N06AA06, trimipramine, The serum concentration of Yohimbine can be increased when it is combined with Trimipramine.]
[R06AC04, tripelennamine, The metabolism of Yohimbine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Yohimbine.]
[A03BB01, butylscopolamine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Yohimbine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Yohimbine can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Yohimbine.]
[C09CA09, azilsartan medoxomil, Yohimbine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Yohimbine.]
[L02BX03, abiraterone, The metabolism of Yohimbine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Yohimbine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Yohimbine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Yohimbine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Yohimbine can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Yohimbine is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Yohimbine can be decreased when combined with Verapamil.]
