[S02DA03, antipyrine, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Antipyrine.]
[B01AD01, streptokinase, Streptokinase may increase the hypotensive activities of Tadalafil.]
[J01GA01, streptomycin, Tadalafil may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01CG01, sulbactam, Tadalafil may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Tadalafil may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Sulindac.]
[M01AX04, apazone, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Tadalafil.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Tadalafil.]
[R03CC03, terbutaline, Terbutaline may decrease the antihypertensive activities of Tadalafil.]
[B01AE07, dabigatran etexilate, Tadalafil may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N05AE05, lurasidone, Lurasidone may decrease the antihypertensive activities of Tadalafil.]
[N04BC07, apomorphine, The metabolism of Tadalafil can be decreased when combined with Apomorphine.]
[L04AX02, thalidomide, The metabolism of Tadalafil can be increased when combined with Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Tadalafil.]
[N05AB08, thioproperazine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Thioridazine.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Tadalafil.]
[N05AL03, tiapride, Tadalafil may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01ED01, timolol, Timolol may increase the hypotensive activities of Tadalafil.]
[P01AB02, tinidazole, Tadalafil may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Tadalafil may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tadalafil may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[M02AX02, tolazoline, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Tolazoline.]
[V04CA01, tolbutamide, Tadalafil may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Tolmetin.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Tadalafil.]
[N06AX05, trazodone, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Tadalafil can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Tadalafil can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Tadalafil may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Tadalafil can be increased when used in combination with Trichlormethiazide.]
[A16AX12, trientine, Tadalafil may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[R03BA07, mometasone, The metabolism of Tadalafil can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Tadalafil may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[S01ED04, metipranolol, Tadalafil may increase the hypotensive activities of Metipranolol.]
[C02BA01, trimethaphan, Tadalafil may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Trimipramine.]
[J01FA08, troleandomycin, The serum concentration of Tadalafil can be increased when it is combined with Troleandomycin.]
[N06AX24, vilazodone, Vilazodone may decrease the antihypertensive activities of Tadalafil.]
[C09CA09, azilsartan medoxomil, Tadalafil may increase the hypotensive activities of Azilsartan medoxomil.]
