[J01EC01, sulfamethoxazole, The metabolism of Alfuzosin can be decreased when combined with Sulfamethoxazole.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Sulfisoxazole.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Sulpiride.]
[L02BA01, tamoxifen, The metabolism of Alfuzosin can be decreased when combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Alfuzosin can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Alfuzosin.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Tetrabenazine.]
[S03AA02, tetracycline, The metabolism of Alfuzosin can be decreased when combined with Tetracycline.]
[N05AE05, lurasidone, Lurasidone may increase the hypotensive activities of Alfuzosin.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Apomorphine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Eribulin.]
[N05CA19, thiopental, The metabolism of Alfuzosin can be decreased when combined with Thiopental.]
[N05AB08, thioproperazine, Thioproperazine may increase the hypotensive activities of Alfuzosin.]
[N05AC02, thioridazine, Thioridazine may increase the hypotensive activities of Alfuzosin.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Thiothixene.]
[G04BE06, moxisylyte, Moxisylyte may increase the hypotensive activities of Alfuzosin.]
[S01ED01, timolol, Alfuzosin may increase the hypotensive activities of Timolol.]
[M02AX02, tolazoline, Tolazoline may increase the hypotensive activities of Alfuzosin.]
[N06AF04, tranylcypromine, The metabolism of Alfuzosin can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Alfuzosin.]
[C03AA06, trichlormethiazide, Alfuzosin may increase the hypotensive activities of Trichlormethiazide.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the hypotensive activities of Alfuzosin.]
[A03AA05, trimebutine, The risk or severity of hypotension can be increased when Alfuzosin is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of hypotension can be increased when Alfuzosin is combined with Trimethadione.]
[C02BA01, trimethaphan, Alfuzosin may increase the hypotensive activities of Trimethaphan.]
[N06AA06, trimipramine, Trimipramine may increase the hypotensive activities of Alfuzosin.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Triprolidine.]
[J01FA08, troleandomycin, The metabolism of Alfuzosin can be decreased when combined with Troleandomycin.]
[C09CA09, azilsartan medoxomil, Alfuzosin may increase the hypotensive activities of Azilsartan medoxomil.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Alfuzosin can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Alfuzosin can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Alfuzosin can be decreased when combined with Boceprevir.]
