[L02BA01, tamoxifen, The excretion of Silodosin can be decreased when combined with Tamoxifen.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Silodosin.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Silodosin.]
[N05AE05, lurasidone, Silodosin may increase the hypotensive activities of Lurasidone.]
[N05AB08, thioproperazine, Thioproperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[N05AC02, thioridazine, Thioridazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[S01ED01, timolol, The risk or severity of orthostatic hypotension and dizziness can be increased when Timolol is combined with Silodosin.]
[M02AX02, tolazoline, The risk or severity of orthostatic hypotension and dizziness can be increased when Tolazoline is combined with Silodosin.]
[N06AX05, trazodone, Trazodone may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[C03AA06, trichlormethiazide, The risk or severity of orthostatic hypotension and dizziness can be increased when Trichlormethiazide is combined with Silodosin.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[A03AA05, trimebutine, The risk or severity of hypotension can be increased when Silodosin is combined with Trimebutine.]
[N03AC02, trimethadione, The risk or severity of hypotension can be increased when Silodosin is combined with Trimethadione.]
[C02BA01, trimethaphan, The risk or severity of orthostatic hypotension and dizziness can be increased when Trimethaphan is combined with Silodosin.]
[N06AA06, trimipramine, Trimipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[J01FA08, troleandomycin, The metabolism of Silodosin can be decreased when combined with Troleandomycin.]
[C09CA09, azilsartan medoxomil, The risk or severity of orthostatic hypotension and dizziness can be increased when Azilsartan medoxomil is combined with Silodosin.]
[L01EX04, vandetanib, The excretion of Silodosin can be decreased when combined with Vandetanib.]
[A10BH05, linagliptin, The excretion of Silodosin can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Silodosin can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The excretion of Silodosin can be decreased when combined with Telaprevir.]
[B01AF01, rivaroxaban, The serum concentration of Rivaroxaban can be increased when it is combined with Silodosin.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Silodosin.]
[B01AC24, ticagrelor, The excretion of Silodosin can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The excretion of Silodosin can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Silodosin can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Silodosin.]
[C04AX07, vincamine, The risk or severity of orthostatic hypotension and dizziness can be increased when Vincamine is combined with Silodosin.]
[L01CA02, vincristine, The serum concentration of Vincristine can be increased when it is combined with Silodosin.]
[S01AA13, fusidic acid, The metabolism of Silodosin can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, The risk or severity of orthostatic hypotension and dizziness can be increased when Xipamide is combined with Silodosin.]
[N05AF05, zuclopenthixol, Zuclopenthixol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[J05AE02, indinavir, The metabolism of Silodosin can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The excretion of Silodosin can be decreased when combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Silodosin.]
[L01ED01, crizotinib, The excretion of Silodosin can be decreased when combined with Crizotinib.]
[N05AE04, ziprasidone, The metabolism of Silodosin can be decreased when combined with Ziprasidone.]
[C07AB03, atenolol, The risk or severity of orthostatic hypotension and dizziness can be increased when Atenolol is combined with Silodosin.]
[J02AC03, voriconazole, The metabolism of Silodosin can be decreased when combined with Voriconazole.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Silodosin.]
[R07AX02, ivacaftor, The excretion of Silodosin can be decreased when combined with Ivacaftor.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Silodosin.]
[G04BE10, avanafil, Silodosin may increase the hypotensive activities of Avanafil.]
[G04BD12, mirabegron, The excretion of Silodosin can be decreased when combined with Mirabegron.]
[L01XG02, carfilzomib, The excretion of Silodosin can be decreased when combined with Carfilzomib.]
[V03AX03, cobicistat, The excretion of Silodosin can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Silodosin can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Silodosin can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Silodosin.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Silodosin.]
[L01EX05, regorafenib, The excretion of Silodosin can be decreased when combined with Regorafenib.]
[J05AE04, nelfinavir, The metabolism of Silodosin can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Silodosin.]
[C08CA13, lercanidipine, The risk or severity of orthostatic hypotension and dizziness can be increased when Lercanidipine is combined with Silodosin.]
[G04BE03, sildenafil, The excretion of Silodosin can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The excretion of Silodosin can be decreased when combined with Ponatinib.]
[B01AF02, apixaban, The serum concentration of Apixaban can be increased when it is combined with Silodosin.]
[C10AX12, lomitapide, The excretion of Silodosin can be decreased when combined with Lomitapide.]
[C04AX11, bencyclane, The risk or severity of hypotension can be increased when Silodosin is combined with Bencyclane.]
[C03AA01, bendroflumethiazide, The risk or severity of orthostatic hypotension and dizziness can be increased when Bendroflumethiazide is combined with Silodosin.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Silodosin.]
[A10BK02, canagliflozin, The excretion of Silodosin can be decreased when combined with Canagliflozin.]
[A06AX06, tegaserod, The serum concentration of Silodosin can be increased when it is combined with Tegaserod.]
[L04AA18, everolimus, The excretion of Silodosin can be decreased when combined with Everolimus.]
[L01EC02, dabrafenib, The serum concentration of Silodosin can be decreased when it is combined with Dabrafenib.]
[L01EB03, afatinib, The excretion of Silodosin can be decreased when combined with Afatinib.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Silodosin.]
[C08EA02, bepridil, The risk or severity of orthostatic hypotension and dizziness can be increased when Bepridil is combined with Silodosin.]
[C02KX05, riociguat, The risk or severity of orthostatic hypotension and dizziness can be increased when Riociguat is combined with Silodosin.]
[C02KX04, macitentan, The risk or severity of orthostatic hypotension and dizziness can be increased when Macitentan is combined with Silodosin.]
[D01AC18, luliconazole, The metabolism of Silodosin can be decreased when combined with Luliconazole.]
[J05AP05, simeprevir, The excretion of Silodosin can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Silodosin.]
[C01CA27, droxidopa, The therapeutic efficacy of Droxidopa can be decreased when used in combination with Silodosin.]
[C07AB04, acebutolol, The risk or severity of orthostatic hypotension and dizziness can be increased when Acebutolol is combined with Silodosin.]
[A16AA07, metreleptin, The metabolism of Silodosin can be increased when combined with Metreleptin.]
[S01ED02, betaxolol, The risk or severity of orthostatic hypotension and dizziness can be increased when Betaxolol is combined with Silodosin.]
[C02CC01, bethanidine, The risk or severity of orthostatic hypotension and dizziness can be increased when Bethanidine is combined with Silodosin.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Silodosin.]
[B01AC26, vorapaxar, The excretion of Silodosin can be decreased when combined with Vorapaxar.]
[L01XH04, belinostat, The serum concentration of Silodosin can be increased when it is combined with Belinostat.]
[L01EM01, idelalisib, The serum concentration of Idelalisib can be increased when it is combined with Silodosin.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Silodosin.]
[N05CM19, suvorexant, The excretion of Silodosin can be decreased when combined with Suvorexant.]
[A16AX10, eliglustat, The excretion of Silodosin can be decreased when combined with Eliglustat.]
[N05AA04, acepromazine, Acepromazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[L01EX09, nintedanib, The serum concentration of Nintedanib can be increased when it is combined with Silodosin.]
