[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Levothyroxine.]
[A14AA02, stanozolol, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Stanozolol.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Levothyroxine.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Levothyroxine.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Levothyroxine.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Levothyroxine.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Levothyroxine.]
[L01BB02, mercaptopurine, Levothyroxine may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BA01, tamoxifen, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Tamoxifen.]
[R03CC03, terbutaline, The risk or severity of adverse effects can be increased when Terbutaline is combined with Levothyroxine.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be decreased when it is combined with Levothyroxine.]
[G03BA03, testosterone, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Testosterone.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Levothyroxine.]
[R03DA07, theobromine, Levothyroxine may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, Levothyroxine may increase the excretion rate of Theophylline which could result in a lower serum level and potentially a reduction in efficacy.]
[B03AB03, sodium ironedetate, Sodium feredetate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01ED01, timolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Timolol.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Levothyroxine.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Levothyroxine.]
[N06AX05, trazodone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Trazodone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Levothyroxine.]
[S01BA05, triamcinolone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Triamcinolone.]
[R03BA07, mometasone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Mometasone.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Levothyroxine.]
[N06AA06, trimipramine, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Trimipramine.]
