[B01AD01, streptokinase, Propylthiouracil may increase the anticoagulant activities of Streptokinase.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Propylthiouracil.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Propylthiouracil.]
[L04AA27, fingolimod, Propylthiouracil may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Propylthiouracil.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Propylthiouracil.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Propylthiouracil.]
[L01BB02, mercaptopurine, Propylthiouracil may decrease the excretion rate of Mercaptopurine which could result in a higher serum level.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Propylthiouracil.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Propylthiouracil.]
[R03CC03, terbutaline, The risk or severity of adverse effects can be increased when Terbutaline is combined with Propylthiouracil.]
[B01AE07, dabigatran etexilate, Propylthiouracil may increase the anticoagulant activities of Dabigatran etexilate.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Thalidomide.]
[R03DA07, theobromine, Propylthiouracil may decrease the excretion rate of Theobromine which could result in a higher serum level.]
[R03DA04, theophylline, Propylthiouracil may decrease the excretion rate of Theophylline which could result in a higher serum level.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Propylthiouracil.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Propylthiouracil.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Propylthiouracil.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Propylthiouracil.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Propylthiouracil.]
[N06AX05, trazodone, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Triamcinolone.]
[N05CD05, triazolam, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Triazolam.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Propylthiouracil.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Propylthiouracil.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Mometasone.]
[J01EA01, trimethoprim, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Trimethoprim is combined with Propylthiouracil.]
[N06AA06, trimipramine, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Trimipramine.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Propylthiouracil.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Belimumab.]
[L01EX04, vandetanib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Vandetanib.]
[B01AD04, urokinase, Propylthiouracil may increase the anticoagulant activities of Urokinase.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Belatacept.]
[B01AF01, rivaroxaban, Propylthiouracil may increase the anticoagulant activities of Rivaroxaban.]
[B01AC24, ticagrelor, Propylthiouracil may increase the anticoagulant activities of Ticagrelor.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Propylthiouracil.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Propylthiouracil.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Propylthiouracil.]
[B01AA03, warfarin, Propylthiouracil may increase the anticoagulant activities of Warfarin.]
[S01AA13, fusidic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Fusidic acid.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Propylthiouracil.]
[J05AE02, indinavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Indinavir is combined with Propylthiouracil.]
[L01EC01, vemurafenib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Vemurafenib.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Propylthiouracil.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Crizotinib.]
[B01AE01, desirudin, Propylthiouracil may increase the anticoagulant activities of Lepirudin.]
