[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Methimazole.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be decreased when combined with Methimazole.]
[B01AD01, streptokinase, Methimazole may increase the anticoagulant activities of Streptokinase.]
[J01GA01, streptomycin, Methimazole may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Methimazole.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Methimazole.]
[L04AA27, fingolimod, Methimazole may increase the immunosuppressive activities of Fingolimod.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01CG01, sulbactam, Methimazole may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Methimazole.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Methimazole.]
[M04AB02, sulfinpyrazone, The metabolism of Sulfinpyrazone can be decreased when combined with Methimazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Methimazole.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BB02, mercaptopurine, Methimazole may decrease the excretion rate of Mercaptopurine which could result in a higher serum level.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Methimazole.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Methimazole.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Methimazole.]
[R03CC03, terbutaline, The risk or severity of adverse effects can be increased when Terbutaline is combined with Methimazole.]
[B01AE07, dabigatran etexilate, Methimazole may increase the anticoagulant activities of Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Methimazole.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Methimazole.]
[S03AA02, tetracycline, The metabolism of Tetracycline can be decreased when combined with Methimazole.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be decreased when combined with Methimazole.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Methimazole.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Methimazole.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Methimazole is combined with Thalidomide.]
[R03DA07, theobromine, Methimazole may decrease the excretion rate of Theobromine which could result in a higher serum level.]
[R03DA04, theophylline, The excretion of Theophylline can be decreased when combined with Methimazole.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Methimazole.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Methimazole is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Methimazole.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Methimazole.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Methimazole.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Methimazole.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Methimazole.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Methimazole.]
[G04BE06, moxisylyte, Methimazole may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Methimazole may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Methimazole.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Methimazole.]
[P01AB02, tinidazole, The metabolism of Tinidazole can be decreased when combined with Methimazole.]
[S01AA12, tobramycin, Methimazole may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
