[G03XB02, ulipristal, The serum concentration of Ulipristal can be decreased when it is combined with Demeclocycline.]
[J01GA01, streptomycin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Streptomycin.]
[M03AB01, succinylcholine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Demeclocycline.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA16, sulbenicillin, The therapeutic efficacy of Sulbenicillin can be decreased when used in combination with Demeclocycline.]
[J01CA15, talampicillin, The therapeutic efficacy of Talampicillin can be decreased when used in combination with Demeclocycline.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Tetracaine.]
[S03AA02, tetracycline, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Tetracycline.]
[B03AB03, sodium ironedetate, Demeclocycline can cause a decrease in the absorption of Sodium feredetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA13, ticarcillin, The therapeutic efficacy of Ticarcillin can be decreased when used in combination with Demeclocycline.]
[S01AA12, tobramycin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Tobramycin.]
[L01XF01, tretinoin, The risk or severity of pseudotumor cerebri can be increased when Tretinoin is combined with Demeclocycline.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Demeclocycline is combined with Trimethaphan.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be increased when used in combination with Demeclocycline.]
[S01AA28, vancomycin, The risk or severity of neuromuscular blockade can be increased when Vancomycin is combined with Demeclocycline.]
[S01XA02, vitamin A, The risk or severity of pseudotumor cerebri can be increased when Vitamin A is combined with Demeclocycline.]
[B01AA03, warfarin, Demeclocycline may increase the anticoagulant activities of Warfarin.]
[G03AC10, drospirenone, The serum concentration of Drospirenone can be decreased when it is combined with Demeclocycline.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be increased when used in combination with Demeclocycline.]
[J01CA09, azlocillin, The therapeutic efficacy of Azlocillin can be decreased when used in combination with Demeclocycline.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C10AX11, mipomersen, Demeclocycline may increase the hepatotoxic activities of Mipomersen.]
[A12CC09, magnesium orotate, Magnesium orotate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Benzocaine.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC05, magnesium aspartate, Magnesium aspartate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Benzyl alcohol.]
[B03AB04, ferric hydroxide, Demeclocycline can cause a decrease in the absorption of Ferric hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03AC08, etonogestrel, The serum concentration of Etonogestrel can be decreased when it is combined with Demeclocycline.]
[V03AE05, sucroferric oxyhydroxide, The serum concentration of Demeclocycline can be decreased when it is combined with Iron sucrose.]
[B01AA07, acenocoumarol, Demeclocycline may increase the anticoagulant activities of Acenocoumarol.]
[S01AA15, dihydrostreptomycin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Dihydrostreptomycin.]
[V03AE08, ferric citrate, Demeclocycline can cause a decrease in the absorption of Tetraferric tricitrate decahydrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S03AA06, gentamicin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Gentamicin.]
[B01AA01, dicumarol, Demeclocycline may increase the anticoagulant activities of Dicoumarol.]
[B01AA11, tioclomarol, Demeclocycline may increase the anticoagulant activities of Tioclomarol.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D05BB02, acitretin, The risk or severity of pseudotumor cerebri can be increased when Acitretin is combined with Demeclocycline.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
