[J01MB04, pipemidic acid, The serum concentration of Pipemidic acid can be increased when it is combined with Ampicillin.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G03DB05, demegestone, The therapeutic efficacy of Demegestone can be decreased when used in combination with Ampicillin.]
[G03AC09, desogestrel, The therapeutic efficacy of Desogestrel can be decreased when used in combination with Ampicillin.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M09AX08, golodirsen, Ampicillin may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Ampicillin may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[S01AE06, gatifloxacin, The serum concentration of Gatifloxacin can be increased when it is combined with Ampicillin.]
[R02AA03, dichlorobenzyl alcohol, Ampicillin may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The therapeutic efficacy of Dienogest can be decreased when used in combination with Ampicillin.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C08CA16, clevidipine, Ampicillin may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[V03AE03, lanthanum carbonate, The serum concentration of Ampicillin can be decreased when it is combined with Lanthanum carbonate.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[V08CA05, mangafodipir, Ampicillin may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Dyclonine.]
[P01BA01, chloroquine, The bioavailability of Ampicillin can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, Ampicillin may decrease the excretion rate of Chlorpromazine which could result in a higher serum level.]
[A10BB02, chlorpropamide, Ampicillin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G03DC06, ethynodiol, The therapeutic efficacy of Etynodiol can be decreased when used in combination with Ampicillin.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AX25, chondroitin sulfates, Ampicillin may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01CA19, fenoldopam, Ampicillin may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Ampicillin may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[J01MB07, flumequine, The serum concentration of Flumequine can be increased when it is combined with Ampicillin.]
[S02BA08, fluocinolone acetonide, Ampicillin may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[N02BG07, flupirtine, Ampicillin may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[A02BA01, cimetidine, Ampicillin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[V08CA04, gadoteridol, Ampicillin may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[J01MB06, cinoxacin, The serum concentration of Cinoxacin can be increased when it is combined with Ampicillin.]
[S03AA07, ciprofloxacin, The serum concentration of Ciprofloxacin can be increased when it is combined with Ampicillin.]
[L01XA01, cisplatin, Ampicillin may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Levobupivacaine.]
[N06AA04, clomipramine, Ampicillin may decrease the excretion rate of Clomipramine which could result in a higher serum level.]
[N03AE01, clonazepam, Ampicillin may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, Clozapine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01GB12, arbekacin, Ampicillin may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Cocaine.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M04AC01, colchicine, Ampicillin may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Ampicillin may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A04AA03, tropisetron, Ampicillin may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Ampicillin may decrease the excretion rate of Nateglinide which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J05AB14, valganciclovir, Ampicillin may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Ampicillin may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Ampicillin may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Ampicillin may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Ampicillin may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Ampicillin may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N02CC05, almotriptan, Ampicillin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05BA10, ketazolam, Ampicillin may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N03AX09, lamotrigine, Ampicillin may decrease the excretion rate of Lamotrigine which could result in a higher serum level.]
[N07BC04, lofexidine, Ampicillin may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[S01AE04, lomefloxacin, The serum concentration of Lomefloxacin can be increased when it is combined with Ampicillin.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C09AA03, lisinopril, Ampicillin may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Ampicillin may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[J01DH02, meropenem, Ampicillin may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Ampicillin may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L01AX04, dacarbazine, Ampicillin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N07BB05, nalmefene, Ampicillin may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[J01AA01, demeclocycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Demeclocycline.]
[S01GX04, nedocromil, Ampicillin may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
