[G03XB02, ulipristal, The therapeutic efficacy of Ulipristal can be decreased when used in combination with Cloxacillin.]
[J01GA01, streptomycin, The serum concentration of Streptomycin can be decreased when it is combined with Cloxacillin.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Tetracaine.]
[S03AA02, tetracycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Tetracycline.]
[S01AA12, tobramycin, The serum concentration of Tobramycin can be decreased when it is combined with Cloxacillin.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be increased when used in combination with Cloxacillin.]
[B01AA03, warfarin, Cloxacillin may increase the anticoagulant activities of Warfarin.]
[J01MA13, trovafloxacin, The serum concentration of Trovafloxacin can be increased when it is combined with Cloxacillin.]
[G03AC10, drospirenone, The therapeutic efficacy of Drospirenone can be decreased when used in combination with Cloxacillin.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be increased when used in combination with Cloxacillin.]
[J01MA15, gemifloxacin, The serum concentration of Gemifloxacin can be increased when it is combined with Cloxacillin.]
[S01AE07, moxifloxacin, The serum concentration of Moxifloxacin can be increased when it is combined with Cloxacillin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Benzocaine.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Benzyl alcohol.]
[G03AC08, etonogestrel, The therapeutic efficacy of Etonogestrel can be decreased when used in combination with Cloxacillin.]
[B01AA07, acenocoumarol, Cloxacillin may increase the anticoagulant activities of Acenocoumarol.]
[S01AA15, dihydrostreptomycin, The serum concentration of Dihydrostreptomycin can be decreased when it is combined with Cloxacillin.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be decreased when it is combined with Cloxacillin.]
[B01AA01, dicumarol, Cloxacillin may increase the anticoagulant activities of Dicoumarol.]
[B01AA11, tioclomarol, Cloxacillin may increase the anticoagulant activities of Tioclomarol.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Cloxacillin which could result in a higher serum level.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Bupivacaine.]
[J01MA09, sparfloxacin, The serum concentration of Sparfloxacin can be increased when it is combined with Cloxacillin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Oxybuprocaine.]
[J01MA23, delafloxacin, The serum concentration of Delafloxacin can be increased when it is combined with Cloxacillin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Capsaicin.]
[J01GB14, plazomicin, The serum concentration of Plazomicin can be decreased when it is combined with Cloxacillin.]
[J01AA13, eravacycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Eravacycline.]
[J01AA14, sarecycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Sarecycline.]
