[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Flucloxacillin.]
[J01GA01, streptomycin, The serum concentration of Streptomycin can be decreased when it is combined with Flucloxacillin.]
[J01EC01, sulfamethoxazole, Flucloxacillin may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M04AB02, sulfinpyrazone, Flucloxacillin may decrease the excretion rate of Sulfinpyrazone which could result in a higher serum level.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Flucloxacillin.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Flucloxacillin.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Tetracaine.]
[S03AA02, tetracycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Tetracycline.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Flucloxacillin.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Flucloxacillin.]
[P01AB02, tinidazole, Flucloxacillin may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, The serum concentration of Tobramycin can be decreased when it is combined with Flucloxacillin.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Flucloxacillin.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be increased when used in combination with Flucloxacillin.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be increased when combined with Flucloxacillin.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Flucloxacillin.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be increased when combined with Flucloxacillin.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Flucloxacillin.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Flucloxacillin.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Flucloxacillin.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Flucloxacillin.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Flucloxacillin.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Flucloxacillin.]
[J05AE02, indinavir, Indinavir may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Flucloxacillin.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Flucloxacillin.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Flucloxacillin.]
[J01MA13, trovafloxacin, The serum concentration of Trovafloxacin can be increased when it is combined with Flucloxacillin.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be increased when combined with Flucloxacillin.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Flucloxacillin.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Flucloxacillin.]
[C07AB03, atenolol, Flucloxacillin may decrease the excretion rate of Atenolol which could result in a higher serum level.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be increased when used in combination with Flucloxacillin.]
[S01FA01, atropine, Flucloxacillin may decrease the excretion rate of Atropine which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Flucloxacillin.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Flucloxacillin.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Flucloxacillin.]
[J05AE04, nelfinavir, Nelfinavir may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Flucloxacillin.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Flucloxacillin.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Flucloxacillin.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Flucloxacillin.]
[J01MA15, gemifloxacin, The serum concentration of Gemifloxacin can be increased when it is combined with Flucloxacillin.]
[M04AB03, benzbromarone, Flucloxacillin may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The serum concentration of Moxifloxacin can be increased when it is combined with Flucloxacillin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Benzocaine.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Flucloxacillin.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be increased when combined with Flucloxacillin.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Flucloxacillin.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Flucloxacillin.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Flucloxacillin.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be increased when combined with Flucloxacillin.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be increased when combined with Flucloxacillin.]
