[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Antipyrine.]
[B01AD01, streptokinase, The therapeutic efficacy of Streptokinase can be decreased when used in combination with Cefepime.]
[J01GA01, streptomycin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Streptomycin.]
[A02BX02, sucralfate, Cefepime may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Cefepime may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Cefepime may decrease the excretion rate of Sulfadiazine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Cefepime may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, The risk or severity of nephrotoxicity can be increased when Sulindac is combined with Cefepime.]
[M01AX04, apazone, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Azapropazone.]
[N05CD07, temazepam, Cefepime may decrease the excretion rate of Temazepam which could result in a higher serum level.]
[R03CC03, terbutaline, Cefepime may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Cefepime may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Cefepime may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Tetracaine.]
[S03AA02, tetracycline, Cefepime may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Ceftaroline fosamil.]
[P02CA02, thiabendazole, Cefepime may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, Cefepime may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[G04BE06, moxisylyte, Cefepime may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Cefepime may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Cefepime may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[S01ED01, timolol, Cefepime may decrease the excretion rate of Timolol which could result in a higher serum level.]
[P01AB02, tinidazole, Cefepime may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Tobramycin.]
[A10BB05, tolazamide, Cefepime may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Cefepime may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of nephrotoxicity can be increased when Tolmetin is combined with Cefepime.]
[N02AX02, tramadol, Cefepime may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C03DB02, triamterene, The risk or severity of nephrotoxicity can be increased when Triamterene is combined with Cefepime.]
[N05CD05, triazolam, Cefepime may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[A16AX12, trientine, Cefepime may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Cefepime may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[A03AA05, trimebutine, Cefepime may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, Cefepime may decrease the excretion rate of Trimethoprim which could result in a higher serum level.]
[R03DX07, roflumilast, Cefepime may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Cefepime may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Cefepime may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[B01AD04, urokinase, The therapeutic efficacy of Urokinase can be decreased when used in combination with Cefepime.]
[S01AA28, vancomycin, Cefepime may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Cefepime may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Cefepime may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, The therapeutic efficacy of Ticagrelor can be decreased when used in combination with Cefepime.]
[C08DA01, verapamil, Cefepime may decrease the excretion rate of Verapamil which could result in a higher serum level.]
[N06AX09, viloxazine, Cefepime may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B03BA01, vitamin B12, Cefepime may decrease the excretion rate of Cyanocobalamin which could result in a higher serum level.]
[B01AA03, warfarin, Cefepime may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[M05BA03, pamidronic acid, The risk or severity of nephrotoxicity can be increased when Pamidronic acid is combined with Cefepime.]
[M05BA05, tiludronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Cefepime is combined with Tiludronic acid.]
[B06AC02, icatibant, Cefepime may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[B01AE01, desirudin, The therapeutic efficacy of Lepirudin can be decreased when used in combination with Cefepime.]
[A02BC04, rabeprazole, Cefepime may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Cefepime is combined with Ibandronate.]
[V03AC02, deferiprone, Cefepime may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of nephrotoxicity can be increased when Acetylsalicylic acid is combined with Cefepime.]
[L01EJ01, ruxolitinib, Cefepime may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Cefepime may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Cefepime may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[M01CB03, auranofin, Cefepime may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[B03XA04, peginesatide, Cefepime may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Cefepime may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Cefepime may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Cefepime may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Cefepime may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, The risk or severity of nephrotoxicity can be increased when Bacitracin is combined with Cefepime.]
