[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Erythromycin.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be decreased when combined with Erythromycin.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Erythromycin is combined with Streptokinase.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Erythromycin.]
[J01EC01, sulfamethoxazole, Erythromycin may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M04AB02, sulfinpyrazone, Erythromycin may decrease the excretion rate of Sulfinpyrazone which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Sulpiride.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Erythromycin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Erythromycin.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Erythromycin.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Erythromycin.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Erythromycin.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Erythromycin.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Tetracycline can be decreased when combined with Erythromycin.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be decreased when combined with Erythromycin.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Erythromycin.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Erythromycin.]
[L04AX02, thalidomide, The metabolism of Erythromycin can be increased when combined with Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Erythromycin.]
[R03DA04, theophylline, The therapeutic efficacy of Erythromycin can be decreased when used in combination with Theophylline.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Erythromycin.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Erythromycin.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Erythromycin.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Erythromycin.]
[P01AB02, tinidazole, Erythromycin may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Erythromycin.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Erythromycin.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Erythromycin.]
[S01BA05, triamcinolone, Erythromycin may decrease the excretion rate of Triamcinolone which could result in a higher serum level.]
[N05CD05, triazolam, The serum concentration of Triazolam can be increased when it is combined with Erythromycin.]
[R03BA07, mometasone, The metabolism of Erythromycin can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Erythromycin.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Erythromycin.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Erythromycin.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Erythromycin.]
[J01FA08, troleandomycin, The metabolism of Erythromycin can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Erythromycin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Erythromycin.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Erythromycin.]
[L02BX03, abiraterone, The metabolism of Abiraterone can be decreased when combined with Erythromycin.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be decreased when combined with Erythromycin.]
[J05AP03, boceprevir, The metabolism of Erythromycin can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Telaprevir can be increased when it is combined with Erythromycin.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be increased when it is combined with Erythromycin.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Erythromycin is combined with Urokinase.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Erythromycin.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Erythromycin is combined with Rivaroxaban.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be decreased when combined with Erythromycin.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Erythromycin is combined with Ticagrelor.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Erythromycin is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Erythromycin can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Erythromycin.]
[C04AX07, vincamine, The serum concentration of Vincamine can be increased when it is combined with Erythromycin.]
[L01CA02, vincristine, The excretion of Vincristine can be decreased when combined with Erythromycin.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Erythromycin.]
[A11HA03, vitamin E, The metabolism of Vitamin E can be decreased when combined with Erythromycin.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Erythromycin is combined with Warfarin.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Erythromycin.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Erythromycin can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Erythromycin.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Erythromycin.]
[L01ED01, crizotinib, The serum concentration of Crizotinib can be increased when it is combined with Erythromycin.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Erythromycin is combined with Lepirudin.]
[R03DC01, zafirlukast, The serum concentration of Zafirlukast can be decreased when it is combined with Erythromycin.]
[S01XA15, ascorbic acid, The therapeutic efficacy of Erythromycin can be decreased when used in combination with Ascorbic acid.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Erythromycin.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Erythromycin.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Erythromycin.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Erythromycin.]
