[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01GA01, streptomycin, Amikacin may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CG01, sulbactam, Sulbactam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CA16, sulbenicillin, The serum concentration of Amikacin can be decreased when it is combined with Sulbenicillin.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Sulfamethoxazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CA15, talampicillin, The serum concentration of Amikacin can be decreased when it is combined with Talampicillin.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Dabigatran etexilate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G04BE06, moxisylyte, Moxisylyte may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05AL03, tiapride, Tiapride may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CA13, ticarcillin, The serum concentration of Amikacin can be decreased when it is combined with Ticarcillin.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AA12, tobramycin, Amikacin may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V04CA01, tolbutamide, Tolbutamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB02, triamterene, Triamterene may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A16AX12, trientine, Triethylenetetramine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A03AA05, trimebutine, Trimebutine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R03DX07, roflumilast, Roflumilast may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01FX04, ipilimumab, Ipilimumab may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R02AA14, oxyquinoline, Oxyquinoline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AA28, vancomycin, Amikacin may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ezogabine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AF01, rivaroxaban, Rivaroxaban may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C08DA01, verapamil, Verapamil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AX09, viloxazine, Viloxazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AA03, warfarin, Amikacin may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Amikacin is combined with Ibandronate.]
[V03AC02, deferiprone, Deferiprone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Ruxolitinib may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G04BD07, tolterodine, Tolterodine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DH04, doripenem, Doripenem may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B03XA04, peginesatide, Peginesatide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CA09, azlocillin, The serum concentration of Amikacin can be decreased when it is combined with Azlocillin.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M03BX01, baclofen, Amikacin may decrease the excretion rate of Baclofen which could result in a higher serum level.]
[A08AA11, lorcaserin, Lorcaserin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G04BD12, mirabegron, Mirabegron may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L02BB04, enzalutamide, Enzalutamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Amikacin is combined with Acetyldigitoxin.]
[D02BA02, octinoxate, Octinoxate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N04BD02, rasagiline, Rasagiline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
