[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Ofloxacin.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA16, sulbenicillin, The serum concentration of Ofloxacin can be increased when it is combined with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Ofloxacin.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Ofloxacin.]
[M04AB02, sulfinpyrazone, Sulfinpyrazone may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Ofloxacin.]
[M01AB02, sulindac, Sulindac may increase the neuroexcitatory activities of Ofloxacin.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Ofloxacin.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Ofloxacin.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Ofloxacin.]
[M01AX04, apazone, Azapropazone may increase the neuroexcitatory activities of Ofloxacin.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Ofloxacin.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Ofloxacin.]
[J01CA15, talampicillin, The serum concentration of Ofloxacin can be increased when it is combined with Talampicillin.]
[L02BA01, tamoxifen, Tamoxifen may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Ofloxacin.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Ofloxacin.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ofloxacin.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Ofloxacin.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Ofloxacin.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Ofloxacin.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ofloxacin.]
[B03AB03, sodium ironedetate, Sodium feredetate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA13, ticarcillin, The serum concentration of Ofloxacin can be increased when it is combined with Ticarcillin.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Ofloxacin.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Ofloxacin.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Ofloxacin.]
[M02AA21, tolmetin, Tolmetin may increase the neuroexcitatory activities of Ofloxacin.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Ofloxacin.]
[S01BA05, triamcinolone, The risk or severity of tendinopathy can be increased when Triamcinolone is combined with Ofloxacin.]
[N05CD05, triazolam, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Triazolam is combined with Ofloxacin.]
[S01AD02, trifluridine, The excretion of Trifluridine can be decreased when combined with Ofloxacin.]
[D07AC02, fluclorolone, The risk or severity of tendinopathy can be increased when Fluclorolone is combined with Ofloxacin.]
[R03BA07, mometasone, The risk or severity of tendinopathy can be increased when Mometasone is combined with Ofloxacin.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Trimebutine is combined with Ofloxacin.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Ofloxacin.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Ofloxacin.]
[J01EA01, trimethoprim, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Trimethoprim is combined with Ofloxacin.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Ofloxacin.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Ofloxacin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Ofloxacin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Vandetanib.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Ofloxacin.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Ofloxacin.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Ofloxacin.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Ofloxacin.]
[L01CA01, vinblastine, Vinblastine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[L01CA02, vincristine, Vincristine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be increased when used in combination with Ofloxacin.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J05AF01, zidovudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Ofloxacin.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Zuclopenthixol.]
[J05AE02, indinavir, Indinavir may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Vemurafenib.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Ofloxacin.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ibandronate is combined with Ofloxacin.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Ziprasidone.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the neuroexcitatory activities of Ofloxacin.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Ofloxacin.]
[C07AB03, atenolol, Atenolol may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Ofloxacin.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Ofloxacin.]
[H02AB11, prednylidene, The risk or severity of tendinopathy can be increased when Prednylidene is combined with Ofloxacin.]
[J01CA09, azlocillin, The serum concentration of Ofloxacin can be increased when it is combined with Azlocillin.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Ofloxacin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Mirabegron is combined with Ofloxacin.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AA01, aldosterone, The risk or severity of tendinopathy can be increased when Aldosterone is combined with Ofloxacin.]
[J05AE04, nelfinavir, Nelfinavir may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Ofloxacin.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Ofloxacin.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Ofloxacin.]
[G04BE03, sildenafil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Sildenafil is combined with Ofloxacin.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Ofloxacin.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Ofloxacin.]
[N02BA10, benorilate, Benorilate may increase the neuroexcitatory activities of Ofloxacin.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Ofloxacin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Ofloxacin.]
[M04AB03, benzbromarone, Ofloxacin may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[A12CC09, magnesium orotate, Magnesium orotate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Ofloxacin.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Ofloxacin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Ofloxacin.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[A12CC05, magnesium aspartate, Magnesium aspartate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Ofloxacin.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Dabrafenib is combined with Ofloxacin.]
[R02AX03, benzydamine, Benzydamine may increase the neuroexcitatory activities of Ofloxacin.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Benzyl alcohol.]
[B03AB04, ferric hydroxide, Ferric hydroxide can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Bepridil.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Ofloxacin.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[V03AE05, sucroferric oxyhydroxide, Iron sucrose can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Ofloxacin.]
[S03BA03, betamethasone, The risk or severity of tendinopathy can be increased when Betamethasone is combined with Ofloxacin.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Bezafibrate.]
