[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ciprofloxacin.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be decreased when combined with Ciprofloxacin.]
[J01GA01, streptomycin, Ciprofloxacin may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CG01, sulbactam, Ciprofloxacin may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01CA16, sulbenicillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Ciprofloxacin.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Ciprofloxacin.]
[M04AB02, sulfinpyrazone, The metabolism of Sulfinpyrazone can be decreased when combined with Ciprofloxacin.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Ciprofloxacin.]
[M01AB02, sulindac, Sulindac may increase the neuroexcitatory activities of Ciprofloxacin.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Ciprofloxacin.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Ciprofloxacin.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Ciprofloxacin.]
[M01AX04, apazone, Azapropazone may increase the neuroexcitatory activities of Ciprofloxacin.]
[L01BB02, mercaptopurine, The serum concentration of Mercaptopurine can be increased when it is combined with Ciprofloxacin.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Ciprofloxacin.]
[J01CA15, talampicillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Talampicillin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Ciprofloxacin.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Ciprofloxacin.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Ciprofloxacin.]
[B01AE07, dabigatran etexilate, Ciprofloxacin may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Ciprofloxacin.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Tetracycline can be decreased when combined with Ciprofloxacin.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be decreased when combined with Ciprofloxacin.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Ciprofloxacin.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Ciprofloxacin.]
[R03DA07, theobromine, The serum concentration of Theobromine can be increased when it is combined with Ciprofloxacin.]
[R03DA04, theophylline, The serum concentration of Theophylline can be increased when it is combined with Ciprofloxacin.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Ciprofloxacin.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Ciprofloxacin.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Ciprofloxacin.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Ciprofloxacin.]
[G04BE06, moxisylyte, Ciprofloxacin may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[B03AB03, sodium ironedetate, Sodium feredetate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL03, tiapride, Ciprofloxacin may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[J01CA13, ticarcillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Ticarcillin.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Ciprofloxacin.]
[P01AB02, tinidazole, The metabolism of Tinidazole can be decreased when combined with Ciprofloxacin.]
[S01AA12, tobramycin, Ciprofloxacin may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Ciprofloxacin.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Ciprofloxacin.]
[M02AA21, tolmetin, Tolmetin may increase the neuroexcitatory activities of Ciprofloxacin.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Ciprofloxacin.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Ciprofloxacin.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Ciprofloxacin.]
[S01BA05, triamcinolone, The risk or severity of tendinopathy can be increased when Triamcinolone is combined with Ciprofloxacin.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Ciprofloxacin.]
[N05CD05, triazolam, The metabolism of Triazolam can be decreased when combined with Ciprofloxacin.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Ciprofloxacin may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Ciprofloxacin.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[D07AC02, fluclorolone, The risk or severity of tendinopathy can be increased when Fluclorolone is combined with Ciprofloxacin.]
[R03BA07, mometasone, The risk or severity of tendinopathy can be increased when Mometasone is combined with Ciprofloxacin.]
[A03AA05, trimebutine, The metabolism of Trimebutine can be decreased when combined with Ciprofloxacin.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Ciprofloxacin.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Ciprofloxacin.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Ciprofloxacin.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Ciprofloxacin.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Ciprofloxacin.]
[J01FA08, troleandomycin, The metabolism of Troleandomycin can be decreased when combined with Ciprofloxacin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Ciprofloxacin.]
[C09CA09, azilsartan medoxomil, The risk or severity of hyperkalemia can be increased when Azilsartan medoxomil is combined with Ciprofloxacin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Ciprofloxacin.]
[L01FX04, ipilimumab, Ciprofloxacin may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Ciprofloxacin.]
[R02AA14, oxyquinoline, Ciprofloxacin may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Abiraterone can be decreased when combined with Ciprofloxacin.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Ciprofloxacin.]
[J05AP03, boceprevir, The metabolism of Boceprevir can be decreased when combined with Ciprofloxacin.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be decreased when combined with Ciprofloxacin.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be increased when it is combined with Ciprofloxacin.]
[S01AA28, vancomycin, Ciprofloxacin may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Ciprofloxacin.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Ciprofloxacin.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be decreased when combined with Ciprofloxacin.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Ciprofloxacin.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Ciprofloxacin.]
[N06AX09, viloxazine, Ciprofloxacin may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Ciprofloxacin.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Ciprofloxacin.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Ciprofloxacin.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Vitamin E can be decreased when combined with Ciprofloxacin.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Ciprofloxacin.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Ciprofloxacin.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Indinavir can be decreased when combined with Ciprofloxacin.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Ciprofloxacin.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Ciprofloxacin.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Ciprofloxacin.]
[M05BA05, tiludronic acid, Ciprofloxacin may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Ciprofloxacin may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Ciprofloxacin.]
[A02BC04, rabeprazole, Ciprofloxacin may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Ibandronate.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Ciprofloxacin.]
[V03AC02, deferiprone, Ciprofloxacin may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the neuroexcitatory activities of Ciprofloxacin.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Ciprofloxacin.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Ciprofloxacin.]
[J01DH04, doripenem, Ciprofloxacin may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Ciprofloxacin.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Atropine.]
[M01CB03, auranofin, Ciprofloxacin may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Ciprofloxacin.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Ciprofloxacin.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Ciprofloxacin.]
[H02AB11, prednylidene, The risk or severity of tendinopathy can be increased when Prednylidene is combined with Ciprofloxacin.]
[B03XA04, peginesatide, Ciprofloxacin may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Ciprofloxacin may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Ciprofloxacin.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J01CA09, azlocillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Azlocillin.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Ciprofloxacin.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Ciprofloxacin.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Ciprofloxacin.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Ciprofloxacin.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be decreased when combined with Ciprofloxacin.]
[J05AJ02, elvitegravir, The metabolism of Elvitegravir can be decreased when combined with Ciprofloxacin.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Ciprofloxacin.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Ciprofloxacin.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AA01, aldosterone, The risk or severity of tendinopathy can be increased when Aldosterone is combined with Ciprofloxacin.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Ciprofloxacin.]
[D02BA02, octinoxate, Ciprofloxacin may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Nelfinavir can be decreased when combined with Ciprofloxacin.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Ciprofloxacin.]
[N04BD02, rasagiline, The serum concentration of Rasagiline can be increased when it is combined with Ciprofloxacin.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Ciprofloxacin.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Ciprofloxacin.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Ciprofloxacin.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Ciprofloxacin.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Ciprofloxacin.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Ciprofloxacin.]
[V09IX04, fluorodeoxyglucose F18, Ciprofloxacin may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Ciprofloxacin.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Ciprofloxacin.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Ciprofloxacin.]
[V08CA11, gadofosveset, Ciprofloxacin may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Ciprofloxacin.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Ciprofloxacin.]
[A16AX08, teduglutide, Ciprofloxacin may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Ciprofloxacin.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Bedaquiline.]
[C04AX11, bencyclane, The metabolism of Bencyclane can be decreased when combined with Ciprofloxacin.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Ciprofloxacin.]
[A16AX09, glycerol phenylbutyrate, Ciprofloxacin may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Ciprofloxacin.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Ciprofloxacin.]
[N02BA10, benorilate, Benorilate may increase the neuroexcitatory activities of Ciprofloxacin.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Ciprofloxacin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Gemifloxacin.]
[A12CC09, magnesium orotate, Magnesium orotate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Ciprofloxacin.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Ciprofloxacin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Ciprofloxacin.]
[L03AA12, ancestim, Ciprofloxacin may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Ciprofloxacin.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Ciprofloxacin.]
[A12CC05, magnesium aspartate, Magnesium aspartate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Ciprofloxacin.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be decreased when combined with Ciprofloxacin.]
[R02AX03, benzydamine, Benzydamine may increase the neuroexcitatory activities of Ciprofloxacin.]
[L01EE01, trametinib, Ciprofloxacin may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Ciprofloxacin may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[B03AB04, ferric hydroxide, Ferric hydroxide can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Ciprofloxacin.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Ciprofloxacin.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Ciprofloxacin.]
[C02KX04, macitentan, The metabolism of Macitentan can be decreased when combined with Ciprofloxacin.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Ciprofloxacin.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Ciprofloxacin.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be decreased when combined with Ciprofloxacin.]
[J05AP05, simeprevir, The metabolism of Simeprevir can be decreased when combined with Ciprofloxacin.]
[V03AE05, sucroferric oxyhydroxide, Iron sucrose can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AP08, sofosbuvir, Ciprofloxacin may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Ciprofloxacin.]
[C01CA27, droxidopa, Ciprofloxacin may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The serum concentration of Tasimelteon can be increased when it is combined with Ciprofloxacin.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Ciprofloxacin.]
[L02BG02, formestane, Ciprofloxacin may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of tendinopathy can be increased when Betamethasone is combined with Ciprofloxacin.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Ciprofloxacin.]
[V03AB34, fomepizole, Ciprofloxacin may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be decreased when combined with Ciprofloxacin.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Ciprofloxacin.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Ciprofloxacin.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Ciprofloxacin.]
