[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Norfloxacin.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA16, sulbenicillin, The serum concentration of Norfloxacin can be increased when it is combined with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Norfloxacin.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Norfloxacin.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Norfloxacin.]
[M01AB02, sulindac, Sulindac may increase the neuroexcitatory activities of Norfloxacin.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Sulpiride.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Norfloxacin.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Norfloxacin.]
[M01AX04, apazone, Azapropazone may increase the neuroexcitatory activities of Norfloxacin.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Norfloxacin.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Norfloxacin.]
[J01CA15, talampicillin, The serum concentration of Norfloxacin can be increased when it is combined with Talampicillin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Norfloxacin.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Norfloxacin.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Norfloxacin.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Norfloxacin.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Norfloxacin.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Norfloxacin.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Norfloxacin.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Eribulin.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Thiothixene.]
[B03AB03, sodium ironedetate, Sodium feredetate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA13, ticarcillin, The serum concentration of Norfloxacin can be increased when it is combined with Ticarcillin.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Norfloxacin.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Norfloxacin.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Norfloxacin.]
[M02AA21, tolmetin, Tolmetin may increase the neuroexcitatory activities of Norfloxacin.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Norfloxacin.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Norfloxacin.]
[S01BA05, triamcinolone, The risk or severity of tendinopathy can be increased when Triamcinolone is combined with Norfloxacin.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Norfloxacin.]
[N05CD05, triazolam, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Triazolam is combined with Norfloxacin.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Norfloxacin.]
[S01AD02, trifluridine, The excretion of Trifluridine can be decreased when combined with Norfloxacin.]
[D07AC02, fluclorolone, The risk or severity of tendinopathy can be increased when Fluclorolone is combined with Norfloxacin.]
[R03BA07, mometasone, The risk or severity of tendinopathy can be increased when Mometasone is combined with Norfloxacin.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Norfloxacin.]
[J01EA01, trimethoprim, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Trimethoprim is combined with Norfloxacin.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Norfloxacin.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Norfloxacin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Norfloxacin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Vandetanib.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Norfloxacin.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Norfloxacin.]
[L01CA02, vincristine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Vincristine is combined with Norfloxacin.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Norfloxacin.]
[S01AA13, fusidic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Fusidic acid.]
[J05AF01, zidovudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Norfloxacin.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Zuclopenthixol.]
[J05AE02, indinavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Indinavir is combined with Norfloxacin.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Norfloxacin.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Norfloxacin.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Norfloxacin.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ziprasidone.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the neuroexcitatory activities of Norfloxacin.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Norfloxacin.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Norfloxacin.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Norfloxacin.]
[H02AB11, prednylidene, The risk or severity of tendinopathy can be increased when Prednylidene is combined with Norfloxacin.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Norfloxacin.]
[J01CA09, azlocillin, The serum concentration of Norfloxacin can be increased when it is combined with Azlocillin.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Norfloxacin.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Norfloxacin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Mirabegron.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Norfloxacin.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AA01, aldosterone, The risk or severity of tendinopathy can be increased when Aldosterone is combined with Norfloxacin.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Norfloxacin.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Norfloxacin.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Norfloxacin.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Norfloxacin.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Norfloxacin.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Norfloxacin.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Norfloxacin.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Pasireotide.]
[G04BE03, sildenafil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Sildenafil is combined with Norfloxacin.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Bencyclane.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Norfloxacin.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Norfloxacin.]
[N02BA10, benorilate, Benorilate may increase the neuroexcitatory activities of Norfloxacin.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Norfloxacin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Gemifloxacin.]
[A12CC09, magnesium orotate, Magnesium orotate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Moxifloxacin.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Norfloxacin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Norfloxacin.]
[M01AH01, celecoxib, Celecoxib may increase the neuroexcitatory activities of Norfloxacin.]
[A12CC05, magnesium aspartate, Magnesium aspartate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Norfloxacin.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may increase the neuroexcitatory activities of Norfloxacin.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Benzyl alcohol.]
[B03AB04, ferric hydroxide, Ferric hydroxide can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Bepridil.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Norfloxacin.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Norfloxacin.]
[V03AE05, sucroferric oxyhydroxide, Iron sucrose can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Norfloxacin.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Norfloxacin.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Norfloxacin.]
[S03BA03, betamethasone, The risk or severity of tendinopathy can be increased when Betamethasone is combined with Norfloxacin.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Norfloxacin.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Bezafibrate.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Norfloxacin.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Norfloxacin.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Norfloxacin.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Norfloxacin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Olodaterol.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Norfloxacin.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Norfloxacin.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Norfloxacin.]
[V03AE08, ferric citrate, Tetraferric tricitrate decahydrate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Norfloxacin.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Norfloxacin.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Norfloxacin.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Norfloxacin.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ivabradine.]
[J05AF08, adefovir dipivoxil, The excretion of Adefovir dipivoxil can be decreased when combined with Norfloxacin.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Norfloxacin.]
[M02AA25, aceclofenac, Aceclofenac may increase the neuroexcitatory activities of Norfloxacin.]
[M01AB11, acemetacin, Acemetacin may increase the neuroexcitatory activities of Norfloxacin.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Norfloxacin.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Acipimox.]
[L01CX01, trabectedin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Trabectedin.]
[J05AF13, tenofovir alafenamide, The excretion of Tenofovir alafenamide can be decreased when combined with Norfloxacin.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Norfloxacin.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Norfloxacin.]
[M01AE16, alminoprofen, Alminoprofen may increase the neuroexcitatory activities of Norfloxacin.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Norfloxacin.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Norfloxacin.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Norfloxacin.]
[C03CA02, bumetanide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Norfloxacin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Bupranolol.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Buserelin.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Norfloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Norfloxacin.]
[J01CE04, azidocillin, The serum concentration of Norfloxacin can be increased when it is combined with Azidocillin.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Norfloxacin.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Azithromycin.]
[J01CA06, bacampicillin, The serum concentration of Norfloxacin can be increased when it is combined with Bacampicillin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the neuroexcitatory activities of Norfloxacin.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Norfloxacin.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Norfloxacin.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Norfloxacin.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Norfloxacin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D11AX03, calcium gluconate, Calcium gluconate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AB02, infliximab, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Infliximab is combined with Norfloxacin.]
[A12AA01, calcium phosphate, Calcium Phosphate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Delafloxacin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Norfloxacin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Vorinostat.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Norfloxacin.]
[R03BA02, budesonide, The risk or severity of tendinopathy can be increased when Budesonide is combined with Norfloxacin.]
[M01AB07, bumadizone, Bumadizone may increase the neuroexcitatory activities of Norfloxacin.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Norfloxacin.]
