[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Levofloxacin.]
[J01GA01, streptomycin, Levofloxacin may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CG01, sulbactam, Levofloxacin may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01CA16, sulbenicillin, The serum concentration of Levofloxacin can be increased when it is combined with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Levofloxacin.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Levofloxacin.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Levofloxacin.]
[M01AB02, sulindac, Sulindac may increase the neuroexcitatory activities of Levofloxacin.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Levofloxacin.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Levofloxacin.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Levofloxacin.]
[M01AX04, apazone, Azapropazone may increase the neuroexcitatory activities of Levofloxacin.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Levofloxacin.]
[J01CA15, talampicillin, The serum concentration of Levofloxacin can be increased when it is combined with Talampicillin.]
[L02BA01, tamoxifen, The risk or severity of QTc prolongation can be increased when Tamoxifen is combined with Levofloxacin.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Levofloxacin.]
[B01AE07, dabigatran etexilate, Levofloxacin may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Levofloxacin.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Levofloxacin.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Levofloxacin.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Levofloxacin.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Levofloxacin.]
