[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Trovafloxacin.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA16, sulbenicillin, The serum concentration of Trovafloxacin can be increased when it is combined with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Trovafloxacin.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Trovafloxacin.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Trovafloxacin.]
[M01AB02, sulindac, Sulindac may increase the neuroexcitatory activities of Trovafloxacin.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Trovafloxacin.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Trovafloxacin.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Trovafloxacin.]
[M01AX04, apazone, Azapropazone may increase the neuroexcitatory activities of Trovafloxacin.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Trovafloxacin.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Trovafloxacin.]
[J01CA15, talampicillin, The serum concentration of Trovafloxacin can be increased when it is combined with Talampicillin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Trovafloxacin.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Trovafloxacin.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Trovafloxacin.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Trovafloxacin.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Trovafloxacin.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Trovafloxacin.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Trovafloxacin.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Trovafloxacin.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Thioridazine is combined with Trovafloxacin.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Trovafloxacin.]
[B03AB03, sodium ironedetate, Sodium feredetate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA13, ticarcillin, The serum concentration of Trovafloxacin can be increased when it is combined with Ticarcillin.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Trovafloxacin.]
