[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Moxifloxacin.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA16, sulbenicillin, The serum concentration of Moxifloxacin can be increased when it is combined with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Moxifloxacin.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Moxifloxacin.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Moxifloxacin.]
[M01AB02, sulindac, Sulindac may increase the neuroexcitatory activities of Moxifloxacin.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Sulpiride.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Moxifloxacin.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Moxifloxacin.]
[M01AX04, apazone, Azapropazone may increase the neuroexcitatory activities of Moxifloxacin.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Moxifloxacin.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Moxifloxacin.]
[J01CA15, talampicillin, The serum concentration of Moxifloxacin can be increased when it is combined with Talampicillin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Moxifloxacin.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Moxifloxacin.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Moxifloxacin.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Moxifloxacin.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Moxifloxacin.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Moxifloxacin.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Moxifloxacin.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Moxifloxacin.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Moxifloxacin.]
[B03AB03, sodium ironedetate, Sodium feredetate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA13, ticarcillin, The serum concentration of Moxifloxacin can be increased when it is combined with Ticarcillin.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Moxifloxacin.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Moxifloxacin.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Moxifloxacin.]
[M02AA21, tolmetin, Tolmetin may increase the neuroexcitatory activities of Moxifloxacin.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Moxifloxacin.]
[S01BA05, triamcinolone, The risk or severity of tendinopathy can be increased when Triamcinolone is combined with Moxifloxacin.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Moxifloxacin.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Moxifloxacin.]
[D07AC02, fluclorolone, The risk or severity of tendinopathy can be increased when Fluclorolone is combined with Moxifloxacin.]
[R03BA07, mometasone, The risk or severity of tendinopathy can be increased when Mometasone is combined with Moxifloxacin.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Trimebutine is combined with Moxifloxacin.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Moxifloxacin.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Moxifloxacin.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Moxifloxacin.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Moxifloxacin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Moxifloxacin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Vandetanib.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Moxifloxacin.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Moxifloxacin.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Moxifloxacin.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Moxifloxacin.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Moxifloxacin.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be increased when used in combination with Moxifloxacin.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Zuclopenthixol.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Vemurafenib.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Moxifloxacin.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Ziprasidone.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the neuroexcitatory activities of Moxifloxacin.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Moxifloxacin.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Moxifloxacin.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Moxifloxacin.]
[H02AB11, prednylidene, The risk or severity of tendinopathy can be increased when Prednylidene is combined with Moxifloxacin.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Moxifloxacin.]
[J01CA09, azlocillin, The serum concentration of Moxifloxacin can be increased when it is combined with Azlocillin.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Moxifloxacin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Mirabegron is combined with Moxifloxacin.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AA01, aldosterone, The risk or severity of tendinopathy can be increased when Aldosterone is combined with Moxifloxacin.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Moxifloxacin.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Moxifloxacin.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Moxifloxacin.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Moxifloxacin.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Moxifloxacin.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Moxifloxacin.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Moxifloxacin.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Moxifloxacin.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Moxifloxacin.]
[N02BA10, benorilate, Benorilate may increase the neuroexcitatory activities of Moxifloxacin.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Moxifloxacin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Gemifloxacin.]
[A12CC09, magnesium orotate, Magnesium orotate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Moxifloxacin.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Moxifloxacin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Moxifloxacin.]
[M01AH01, celecoxib, Celecoxib may increase the neuroexcitatory activities of Moxifloxacin.]
[A12CC05, magnesium aspartate, Magnesium aspartate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Moxifloxacin.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Dabrafenib is combined with Moxifloxacin.]
[R02AX03, benzydamine, Benzydamine may increase the neuroexcitatory activities of Moxifloxacin.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Benzyl alcohol.]
[B03AB04, ferric hydroxide, Ferric hydroxide can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Bepridil.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Moxifloxacin.]
[V03AE05, sucroferric oxyhydroxide, Iron sucrose can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Moxifloxacin.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Moxifloxacin.]
