[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gatifloxacin.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA16, sulbenicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Gatifloxacin.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Gatifloxacin.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Gatifloxacin.]
[M01AB02, sulindac, Sulindac may increase the neuroexcitatory activities of Gatifloxacin.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Sulpiride.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Gatifloxacin.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Gatifloxacin.]
[M01AX04, apazone, Azapropazone may increase the neuroexcitatory activities of Gatifloxacin.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Gatifloxacin.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Gatifloxacin.]
[J01CA15, talampicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Talampicillin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Gatifloxacin.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Gatifloxacin.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Lurasidone.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Gatifloxacin.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Gatifloxacin.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Gatifloxacin.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Gatifloxacin.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Eribulin.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Gatifloxacin.]
[B03AB03, sodium ironedetate, Sodium feredetate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA13, ticarcillin, The serum concentration of Gatifloxacin can be increased when it is combined with Ticarcillin.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Gatifloxacin.]
