[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Linezolid is combined with Antipyrine.]
[B01AD01, streptokinase, Linezolid may increase the orthostatic hypotensive activities of Streptokinase.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Linezolid.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Linezolid.]
[L04AA27, fingolimod, Linezolid may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, Linezolid may increase the hypoglycemic activities of Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Linezolid.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, Linezolid may increase the hypoglycemic activities of Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Linezolid is combined with Sulindac.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Linezolid is combined with Sulpiride.]
[N03AX03, sulthiame, The therapeutic efficacy of Sulthiame can be decreased when used in combination with Linezolid.]
[A10BB04, glibornuride, Linezolid may increase the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Linezolid may increase the hypoglycemic activities of Glymidine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Linezolid is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Linezolid is combined with Mercaptopurine.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Linezolid.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Linezolid is combined with Terbutaline.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Dabigatran etexilate.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Linezolid is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Tetracaine.]
[S03AA02, tetracycline, The excretion of Tetracycline can be decreased when combined with Linezolid.]
[N05AE05, lurasidone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Lurasidone.]
[N04BC07, apomorphine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Linezolid is combined with Thalidomide.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Linezolid is combined with Eribulin.]
[R06AD03, thiethylperazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Thiethylperazine.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Linezolid is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Linezolid.]
[N05CA19, thiopental, Linezolid may increase the orthostatic hypotensive activities of Thiopental.]
[N05AB08, thioproperazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Linezolid is combined with Thiothixene.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Linezolid is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Linezolid is combined with Tiapride.]
[B01AC05, ticlopidine, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Tilidine.]
[S01ED01, timolol, Linezolid may increase the hypotensive activities of Timolol.]
[A10BB05, tolazamide, Linezolid may increase the hypoglycemic activities of Tolazamide.]
[M02AX02, tolazoline, Linezolid may increase the hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, Linezolid may increase the hypoglycemic activities of Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Linezolid.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome and seizure can be increased when Linezolid is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Linezolid.]
[C01DX11, trapidil, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Trapidil.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Linezolid is combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Linezolid is combined with Triamcinolone.]
[C03DB02, triamterene, Linezolid may increase the orthostatic hypotensive activities of Triamterene.]
[C03AA06, trichlormethiazide, Linezolid may increase the hypotensive activities of Trichlormethiazide.]
[N05AB06, trifluoperazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Trifluoperazine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Linezolid.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Linezolid is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Triflupromazine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Linezolid is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Linezolid is combined with Mometasone.]
[R06AD01, trimeprazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Alimemazine.]
[N03AC02, trimethadione, The therapeutic efficacy of Trimethadione can be decreased when used in combination with Linezolid.]
[C02BA01, trimethaphan, Linezolid may increase the hypotensive activities of Trimethaphan.]
[N06AA06, trimipramine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Trimipramine.]
[N06AX24, vilazodone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Tryptophan.]
[C09CA09, azilsartan medoxomil, Linezolid may increase the hypotensive activities of Azilsartan medoxomil.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Linezolid.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Belimumab.]
[A10BH05, linagliptin, Linezolid may increase the hypoglycemic activities of Linagliptin.]
[B01AD04, urokinase, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Urokinase.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Linezolid is combined with Belatacept.]
[N03AX21, ezogabine, The therapeutic efficacy of Ezogabine can be decreased when used in combination with Linezolid.]
[B01AF01, rivaroxaban, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Linezolid is combined with Indacaterol.]
[B01AC24, ticagrelor, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Ticagrelor.]
[C08DA01, verapamil, Linezolid may increase the orthostatic hypotensive activities of Verapamil.]
[N06AX09, viloxazine, The risk or severity of hypertension can be increased when Viloxazine is combined with Linezolid.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Linezolid.]
[C04AX07, vincamine, Linezolid may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Linezolid.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Linezolid.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Linezolid.]
[B01AA03, warfarin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Warfarin.]
[N01AX15, xenon, The risk or severity of adverse effects can be increased when Xenon is combined with Linezolid.]
[C03BA10, xipamide, Linezolid may increase the hypotensive activities of Xipamide.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Linezolid.]
[N05AF05, zuclopenthixol, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Linezolid.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Linezolid is combined with Brentuximab vedotin.]
[B01AE01, desirudin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Lepirudin.]
[N05AE04, ziprasidone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Ziprasidone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Linezolid.]
[N02BA01, aspirin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Linezolid is combined with Ruxolitinib.]
[J01DH04, doripenem, The excretion of Doripenem can be decreased when combined with Linezolid.]
[C07AB03, atenolol, Linezolid may increase the hypotensive activities of Atenolol.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Linezolid.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Linezolid.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Linezolid is combined with Atropine.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Linezolid is combined with Prednylidene.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Linezolid is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Linezolid is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Linezolid.]
[M03BX01, baclofen, The risk or severity of hypotension can be increased when Baclofen is combined with Linezolid.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Linezolid.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Linezolid.]
[A08AA11, lorcaserin, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Linezolid is combined with Mirabegron.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Linezolid is combined with Carfilzomib.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Linezolid is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Linezolid is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Defibrotide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Linezolid is combined with Octopamine.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Linezolid is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Linezolid is combined with Aldosterone.]
[N05CA04, barbital, The therapeutic efficacy of Barbital can be decreased when used in combination with Linezolid.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Linezolid is combined with Bendamustine.]
[S01GA07, brimonidine, The metabolism of Brimonidine can be decreased when combined with Linezolid.]
[N04BD02, rasagiline, The risk or severity of serotonin syndrome can be increased when Rasagiline is combined with Linezolid.]
[C08CA13, lercanidipine, Linezolid may increase the hypotensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Mosapride.]
