[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluconazole.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be decreased when combined with Fluconazole.]
[J01GA01, streptomycin, Fluconazole may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Succinylcholine.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Fluconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CG01, sulbactam, Fluconazole may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sulfadiazine is combined with Fluconazole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Sulfamethoxazole is combined with Fluconazole.]
[M04AB02, sulfinpyrazone, The metabolism of Sulfinpyrazone can be decreased when combined with Fluconazole.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Sulfisoxazole is combined with Fluconazole.]
[M01AB02, sulindac, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Sulindac.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Sulpiride.]
[A10BB04, glibornuride, The serum concentration of Glibornuride can be increased when it is combined with Fluconazole.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Glymidine is combined with Fluconazole.]
[M01AX04, apazone, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Fluconazole.]
[N05CD07, temazepam, Fluconazole may decrease the excretion rate of Temazepam which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Fluconazole.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Terbutaline.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Fluconazole.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Fluconazole.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Tetrabenazine.]
[S03AA02, tetracycline, The metabolism of Tetracycline can be decreased when combined with Fluconazole.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be decreased when combined with Fluconazole.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Fluconazole.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Apomorphine.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be decreased when combined with Fluconazole.]
