[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Itraconazole.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be decreased when combined with Itraconazole.]
[L04AA27, fingolimod, The metabolism of Fingolimod can be decreased when combined with Itraconazole.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Itraconazole.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Itraconazole.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Itraconazole.]
[M04AB02, sulfinpyrazone, The metabolism of Sulfinpyrazone can be decreased when combined with Itraconazole.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hyperkalemia can be increased when Sulindac is combined with Itraconazole.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Sulpiride.]
[M01AX04, apazone, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Itraconazole.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Itraconazole.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Itraconazole.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Itraconazole.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Itraconazole.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Tetrabenazine.]
[S03AA02, tetracycline, The metabolism of Tetracycline can be decreased when combined with Itraconazole.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be decreased when combined with Itraconazole.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Itraconazole.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Itraconazole.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Itraconazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Eribulin.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Itraconazole.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Thiothixene.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Itraconazole.]
[P01AB02, tinidazole, The metabolism of Tinidazole can be decreased when combined with Itraconazole.]
[M02AA21, tolmetin, The risk or severity of hyperkalemia can be increased when Tolmetin is combined with Itraconazole.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Itraconazole.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Itraconazole.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Itraconazole.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be decreased when combined with Itraconazole.]
[C03DB02, triamterene, The risk or severity of hyperkalemia can be increased when Triamterene is combined with Itraconazole.]
[N05CD05, triazolam, The metabolism of Triazolam can be decreased when combined with Itraconazole.]
[A03AA05, trimebutine, The metabolism of Trimebutine can be decreased when combined with Itraconazole.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Alimemazine.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Itraconazole.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Itraconazole.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Itraconazole.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Itraconazole.]
[J01FA08, troleandomycin, The metabolism of Troleandomycin can be decreased when combined with Itraconazole.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Itraconazole.]
[C09CA09, azilsartan medoxomil, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Azilsartan medoxomil.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Itraconazole.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Itraconazole.]
[L02BX03, abiraterone, The metabolism of Abiraterone can be decreased when combined with Itraconazole.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be decreased when combined with Itraconazole.]
[J05AP03, boceprevir, The serum concentration of Boceprevir can be increased when it is combined with Itraconazole.]
[J05AP02, telaprevir, The serum concentration of Itraconazole can be increased when it is combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be increased when it is combined with Itraconazole.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Ezogabine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Itraconazole.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be decreased when combined with Itraconazole.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Itraconazole.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Itraconazole.]
[N06AX09, viloxazine, The metabolism of Itraconazole can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Itraconazole.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Itraconazole.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Itraconazole.]
[A11HA03, vitamin E, The metabolism of Vitamin E can be decreased when combined with Itraconazole.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Itraconazole.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Itraconazole.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Itraconazole.]
[J05AE02, indinavir, The metabolism of Indinavir can be decreased when combined with Itraconazole.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Itraconazole.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Itraconazole.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Itraconazole.]
[A02BC04, rabeprazole, Rabeprazole can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Itraconazole.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Itraconazole.]
[N02BA01, aspirin, The risk or severity of hyperkalemia can be increased when Acetylsalicylic acid is combined with Itraconazole.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Itraconazole.]
[G04BD07, tolterodine, The serum concentration of Tolterodine can be increased when it is combined with Itraconazole.]
[C07AB03, atenolol, The risk or severity of hyperkalemia can be increased when Atenolol is combined with Itraconazole.]
[J02AC03, voriconazole, The metabolism of Itraconazole can be decreased when combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Itraconazole.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Itraconazole.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Itraconazole.]
[H02AB11, prednylidene, The metabolism of Prednylidene can be decreased when combined with Itraconazole.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Itraconazole.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Itraconazole.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Itraconazole.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Itraconazole.]
[L01XG02, carfilzomib, The serum concentration of Carfilzomib can be increased when it is combined with Itraconazole.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be decreased when combined with Itraconazole.]
[J05AJ02, elvitegravir, The metabolism of Elvitegravir can be decreased when combined with Itraconazole.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Itraconazole.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Itraconazole.]
[L04AA31, teriflunomide, Itraconazole may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AA01, aldosterone, The metabolism of Aldosterone can be decreased when combined with Itraconazole.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Itraconazole.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be increased when it is combined with Itraconazole.]
[J05AE04, nelfinavir, The metabolism of Itraconazole can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Itraconazole.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Itraconazole.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Itraconazole.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Itraconazole.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Itraconazole.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Itraconazole.]
