[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Isoniazid.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be decreased when combined with Isoniazid.]
[J01GA01, streptomycin, Isoniazid may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, The metabolism of Fingolimod can be decreased when combined with Isoniazid.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01CG01, sulbactam, Isoniazid may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Isoniazid.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Isoniazid.]
[M04AB02, sulfinpyrazone, The metabolism of Sulfinpyrazone can be decreased when combined with Isoniazid.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Isoniazid.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N03AX03, sulthiame, The therapeutic efficacy of Sulthiame can be decreased when used in combination with Isoniazid.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Isoniazid.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Isoniazid.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01BB02, mercaptopurine, The serum concentration of Mercaptopurine can be increased when it is combined with Isoniazid.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Isoniazid.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Isoniazid.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Isoniazid.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Isoniazid may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Isoniazid.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Tetracycline can be decreased when combined with Isoniazid.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be decreased when combined with Isoniazid.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Isoniazid.]
[N04BC07, apomorphine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Isoniazid.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be decreased when combined with Isoniazid.]
[R03DA07, theobromine, The serum concentration of Theobromine can be increased when it is combined with Isoniazid.]
[R03DA04, theophylline, The serum concentration of Theophylline can be increased when it is combined with Isoniazid.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Isoniazid.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Isoniazid.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Isoniazid.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Isoniazid.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Isoniazid.]
[G04BE06, moxisylyte, Isoniazid may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Isoniazid may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Isoniazid.]
[N02AX01, tilidine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Isoniazid.]
[P01AB02, tinidazole, The metabolism of Tinidazole can be decreased when combined with Isoniazid.]
[S01AA12, tobramycin, Isoniazid may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Isoniazid.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Isoniazid.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Isoniazid.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Isoniazid.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Isoniazid.]
[S01BA05, triamcinolone, The serum concentration of Isoniazid can be decreased when it is combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The metabolism of Triazolam can be decreased when combined with Isoniazid.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Isoniazid may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Isoniazid.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[S01BA09, clobetasone, The serum concentration of Isoniazid can be decreased when it is combined with Clobetasone.]
[S01BA10, alclometasone, The serum concentration of Isoniazid can be decreased when it is combined with Alclometasone.]
[D07AC02, fluclorolone, The serum concentration of Isoniazid can be decreased when it is combined with Fluclorolone.]
[R03BA07, mometasone, The serum concentration of Isoniazid can be decreased when it is combined with Mometasone.]
[A03AA05, trimebutine, The metabolism of Trimebutine can be decreased when combined with Isoniazid.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Isoniazid.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Isoniazid.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Isoniazid.]
[J01FA08, troleandomycin, The metabolism of Troleandomycin can be decreased when combined with Isoniazid.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Isoniazid.]
[N06AX02, tryptophan, The risk or severity of serotonin syndrome can be increased when Tryptophan is combined with Isoniazid.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Isoniazid.]
[L01FX04, ipilimumab, Isoniazid may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Isoniazid.]
[R02AA14, oxyquinoline, Isoniazid may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Abiraterone can be decreased when combined with Isoniazid.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Isoniazid.]
[J05AP03, boceprevir, The metabolism of Boceprevir can be decreased when combined with Isoniazid.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be decreased when combined with Isoniazid.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be decreased when combined with Isoniazid.]
