[S02DA03, antipyrine, Antipyrine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01GA01, streptomycin, Streptomycin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A02BX02, sucralfate, Tenofovir disoproxil may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Tenofovir disoproxil may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Tenofovir disoproxil may decrease the excretion rate of Sulfadiazine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Tenofovir disoproxil may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may increase the nephrotoxic activities of Tenofovir disoproxil.]
[M01AX04, apazone, Azapropazone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01BB02, mercaptopurine, The excretion of Tenofovir disoproxil can be decreased when combined with Mercaptopurine.]
[L02BA01, tamoxifen, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Tamoxifen.]
[N05CD07, temazepam, Tenofovir disoproxil may decrease the excretion rate of Temazepam which could result in a higher serum level.]
[R03CC03, terbutaline, Tenofovir disoproxil may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Tenofovir disoproxil.]
[G03BA03, testosterone, The excretion of Tenofovir disoproxil can be increased when combined with Testosterone.]
[S03AA02, tetracycline, The excretion of Tenofovir disoproxil can be decreased when combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may increase the nephrotoxic activities of Tenofovir disoproxil.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Tenofovir disoproxil may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, Tenofovir disoproxil may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[G04BE06, moxisylyte, Tenofovir disoproxil may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Tenofovir disoproxil may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Tenofovir disoproxil may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[S01ED01, timolol, Tenofovir disoproxil may decrease the excretion rate of Timolol which could result in a higher serum level.]
[P01AB02, tinidazole, Tenofovir disoproxil may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Tobramycin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A10BB05, tolazamide, Tenofovir disoproxil may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Tenofovir disoproxil may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N02AX02, tramadol, Tenofovir disoproxil may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C03DB02, triamterene, Triamterene may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N05CD05, triazolam, Tenofovir disoproxil may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Tenofovir disoproxil may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Tenofovir disoproxil may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[A03AA05, trimebutine, Tenofovir disoproxil may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, Tenofovir disoproxil may decrease the excretion rate of Trimethoprim which could result in a higher serum level.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Tenofovir disoproxil.]
[R03DX07, roflumilast, Tenofovir disoproxil may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Tenofovir disoproxil may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Tenofovir disoproxil may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Linagliptin.]
