[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01GA01, streptomycin, Abacavir may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01CG01, sulbactam, Abacavir may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Sulfamethoxazole may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Abacavir may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[G04BE06, moxisylyte, Abacavir may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Abacavir may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01AA12, tobramycin, Abacavir may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V04CA01, tolbutamide, Abacavir may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Abacavir may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A03AA05, trimebutine, Abacavir may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[R03DX07, roflumilast, Abacavir may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Abacavir may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Abacavir may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[S01AA28, vancomycin, Abacavir may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Abacavir may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Abacavir may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, Verapamil may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N06AX09, viloxazine, Abacavir may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[B01AA03, warfarin, Abacavir may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE02, indinavir, The metabolism of Abacavir can be decreased when combined with Indinavir.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M05BA05, tiludronic acid, Abacavir may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Abacavir may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[A02BC04, rabeprazole, Abacavir may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Abacavir may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Abacavir may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Tolterodine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DH04, doripenem, Abacavir may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[B03XA04, peginesatide, Abacavir may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Abacavir.]
[A08AA11, lorcaserin, Abacavir may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Abacavir may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L02BB04, enzalutamide, Abacavir may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[L01EX05, regorafenib, The metabolism of Abacavir can be decreased when combined with Regorafenib.]
[D02BA02, octinoxate, Abacavir may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Abacavir can be increased when combined with Nelfinavir.]
[N04BD02, rasagiline, Abacavir may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[V09IX04, fluorodeoxyglucose F18, Abacavir may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Abacavir may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Abacavir may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Abacavir may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Abacavir may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Abacavir may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AA12, ancestim, Abacavir may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01EC02, dabrafenib, The metabolism of Abacavir can be decreased when combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01EE01, trametinib, Abacavir may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Abacavir may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Abacavir may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[A10BJ03, lixisenatide, Abacavir may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Abacavir may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Abacavir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AP08, sofosbuvir, Abacavir may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Abacavir may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Abacavir may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Abacavir may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Abacavir may decrease the excretion rate of Formestane which could result in a higher serum level.]
[V03AB34, fomepizole, Abacavir may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S03AA06, gentamicin, Abacavir may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Abacavir can be decreased when combined with Dasabuvir.]
[B01AF03, edoxaban, Abacavir may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB37, idarucizumab, Abacavir may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Abacavir.]
[L01XG03, ixazomib, Abacavir may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Abacavir may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N03AX23, brivaracetam, Abacavir may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Abacavir may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Abacavir may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Levobupivacaine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Abacavir may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Abacavir may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A06AH05, naldemedine, Abacavir may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Abacavir may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[P01CA02, benznidazole, Abacavir may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Abacavir can be increased when combined with Tipranavir.]
[N07XX13, valbenazine, Abacavir may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[J01MA23, delafloxacin, Abacavir may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Abacavir may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Abacavir can be decreased when combined with Enasidenib.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Abacavir can be increased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Abacavir may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Abacavir may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, Abacavir may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Abacavir may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[B02BX09, fostamatinib, The metabolism of Abacavir can be decreased when combined with Fostamatinib.]
[L04AA37, baricitinib, Abacavir may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01GB14, plazomicin, Abacavir may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[A16AX14, migalastat, Abacavir may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Abacavir may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EB07, dacomitinib, The metabolism of Abacavir can be decreased when combined with Dacomitinib.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[D08AE05, chloroxylenol, Abacavir may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A06AX05, prucalopride, Abacavir may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, Abacavir may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[N06BA14, solriamfetol, Abacavir may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Abacavir can be decreased when combined with Pexidartinib.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX11, pitolisant, Abacavir may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
