[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Zidovudine is combined with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Zidovudine.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Zidovudine.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Zidovudine.]
[L04AA27, fingolimod, Zidovudine may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Zidovudine can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Zidovudine can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Zidovudine.]
[J01EC03, sulfamoxole, The metabolism of Zidovudine can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Zidovudine can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Zidovudine can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Zidovudine can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of bleeding can be increased when Zidovudine is combined with Sulindac.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Zidovudine.]
[M01AX04, apazone, The risk or severity of bleeding can be increased when Zidovudine is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Mercaptopurine.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Zidovudine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Zidovudine.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Zidovudine.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Zidovudine.]
[G03BA03, testosterone, The excretion of Zidovudine can be increased when combined with Testosterone.]
[S03AA02, tetracycline, The excretion of Tetracycline can be decreased when combined with Zidovudine.]
[A04AD10, dronabinol, The metabolism of Zidovudine can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Zidovudine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Thalidomide.]
[R03DA04, theophylline, The metabolism of Zidovudine can be decreased when combined with Theophylline.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Zidovudine is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Zidovudine.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Zidovudine.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Zidovudine.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Zidovudine.]
[M02AA21, tolmetin, The risk or severity of bleeding can be increased when Zidovudine is combined with Tolmetin.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Zidovudine.]
[N06AF04, tranylcypromine, The metabolism of Zidovudine can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Zidovudine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Triamcinolone.]
[N05CD05, triazolam, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Triazolam.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Zidovudine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Zidovudine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Mometasone.]
[N03AC02, trimethadione, The metabolism of Zidovudine can be decreased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Zidovudine can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Zidovudine.]
[J01FA08, troleandomycin, The metabolism of Zidovudine can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Zidovudine.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Belimumab.]
[L01EX04, vandetanib, Vandetanib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Zidovudine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Zidovudine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Zidovudine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Zidovudine can be decreased when combined with Telaprevir.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Zidovudine.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Zidovudine is combined with Belatacept.]
[N03AX21, ezogabine, The metabolism of Ezogabine can be increased when combined with Zidovudine.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Rivaroxaban is combined with Zidovudine.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be increased when combined with Zidovudine.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Ticagrelor is combined with Zidovudine.]
[C08DA01, verapamil, The metabolism of Zidovudine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Zidovudine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Vincristine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Zidovudine.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Zidovudine.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Warfarin is combined with Zidovudine.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be increased when combined with Zidovudine.]
[J05AE02, indinavir, The metabolism of Zidovudine can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, Vemurafenib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Zidovudine.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Zidovudine can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Zidovudine.]
[R03DC01, zafirlukast, The metabolism of Zidovudine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Ibandronate.]
[N05AE04, ziprasidone, The metabolism of Zidovudine can be decreased when combined with Ziprasidone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Zidovudine.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Zidovudine is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ruxolitinib.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Zidovudine.]
[J01DH04, doripenem, The excretion of Doripenem can be decreased when combined with Zidovudine.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Zidovudine.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Zidovudine.]
[J02AC03, voriconazole, The metabolism of Zidovudine can be decreased when combined with Voriconazole.]
[L01XJ01, vismodegib, Vismodegib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Zidovudine.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Zidovudine is combined with Prednylidene.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Zidovudine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Zidovudine.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Zidovudine.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Zidovudine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Zidovudine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Zidovudine.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Zidovudine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Zidovudine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Zidovudine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Zidovudine.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Zidovudine is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Aldosterone.]
[L01EX05, regorafenib, Regorafenib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Zidovudine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Bendamustine.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Lercanidipine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Zidovudine.]
[L04AA29, tofacitinib, Zidovudine may increase the immunosuppressive activities of Tofacitinib.]
[L01EX07, cabozantinib, The metabolism of Zidovudine can be decreased when combined with Cabozantinib.]
[G04BE03, sildenafil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Sildenafil is combined with Zidovudine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Zidovudine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Zidovudine.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Zidovudine.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Zidovudine.]
[N02BA10, benorilate, The risk or severity of bleeding can be increased when Zidovudine is combined with Benorilate.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Zidovudine is combined with Dimethyl fumarate.]
[M04AB03, benzbromarone, The metabolism of Zidovudine can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Zidovudine can be decreased when combined with Tegaserod.]
[J02AX04, caspofungin, The excretion of Zidovudine can be decreased when combined with Caspofungin.]
[M01AH01, celecoxib, The risk or severity of bleeding can be increased when Zidovudine is combined with Celecoxib.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Zidovudine is combined with Everolimus.]
[L03AB03, gamma-interferon, The risk or severity of adverse effects can be increased when Interferon Gamma is combined with Zidovudine.]
[L01EC02, dabrafenib, The serum concentration of Zidovudine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of bleeding can be increased when Zidovudine is combined with Benzydamine.]
[L01EE01, trametinib, The metabolism of Zidovudine can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Zidovudine.]
[L01EB03, afatinib, Afatinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Zidovudine.]
[J05AJ03, dolutegravir, The excretion of Zidovudine can be decreased when combined with Dolutegravir.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Zidovudine.]
[L03AA14, lipegfilgrastim, Zidovudine may increase the myelosuppressive activities of Lipegfilgrastim.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Zidovudine.]
[G03XC02, bazedoxifene, The metabolism of Bazedoxifene can be increased when combined with Zidovudine.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Zidovudine.]
[N03AF04, eslicarbazepine, The metabolism of Eslicarbazepine can be increased when combined with Zidovudine.]
[J05AP05, simeprevir, The metabolism of Zidovudine can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Zidovudine.]
[A16AA07, metreleptin, The metabolism of Zidovudine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Zidovudine can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Zidovudine.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Zidovudine.]
[V03AB34, fomepizole, The metabolism of Zidovudine can be decreased when combined with Fomepizole.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Zidovudine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Zidovudine can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vorapaxar is combined with Zidovudine.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Acenocoumarol is combined with Zidovudine.]
[L01XH04, belinostat, The metabolism of Belinostat can be increased when combined with Zidovudine.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Idelalisib.]
[N07XX08, tafamidis, The serum concentration of Zidovudine can be increased when it is combined with Tafamidis.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Zidovudine.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Zidovudine is combined with Peginterferon beta-1a.]
[J01XA05, oritavancin, The metabolism of Zidovudine can be decreased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Zidovudine.]
[S03AA06, gentamicin, The excretion of Zidovudine can be decreased when combined with Gentamicin.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Blinatumomab.]
[J05AP09, dasabuvir, Dasabuvir may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Zidovudine.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Zidovudine.]
[L04AC10, secukinumab, The metabolism of Zidovudine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Palbociclib.]
[L01EX08, lenvatinib, The excretion of Zidovudine can be decreased when combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Zidovudine is combined with Panobinostat.]
[J05AP07, daclatasvir, Daclatasvir may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[N02BE01, acetaminophen, The metabolism of Zidovudine can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Zidovudine.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Zidovudine.]
[J05AF08, adefovir dipivoxil, The excretion of Zidovudine can be decreased when combined with Adefovir dipivoxil.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Zidovudine.]
[A07DA06, eluxadoline, The excretion of Eluxadoline can be decreased when combined with Zidovudine.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Zidovudine.]
[A04AD14, rolapitant, Rolapitant may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[M02AA25, aceclofenac, The risk or severity of bleeding can be increased when Zidovudine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of bleeding can be increased when Zidovudine is combined with Acemetacin.]
[S01EC01, acetazolamide, The excretion of Zidovudine can be decreased when combined with Acetazolamide.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Acipimox.]
[A02BC03, lansoprazole, The excretion of Zidovudine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Zidovudine can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, Osimertinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The excretion of Tenofovir alafenamide can be decreased when combined with Zidovudine.]
[L01ED03, alectinib, Alectinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Zidovudine.]
[A10BB31, acetohexamide, The metabolism of Zidovudine can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Zidovudine.]
[J05AP10, elbasvir, Elbasvir may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of bleeding can be increased when Zidovudine is combined with Alminoprofen.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Zidovudine.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Zidovudine can be decreased when combined with Venetoclax.]
[C03CA02, bumetanide, The excretion of Bumetanide can be decreased when combined with Zidovudine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be increased when combined with Zidovudine.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Zidovudine is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Zidovudine.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Zidovudine.]
[L01XK03, rucaparib, Rucaparib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Zidovudine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of bleeding can be increased when Zidovudine is combined with Balsalazide.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Zidovudine.]
[N06BC01, caffeine, Caffeine may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Zidovudine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Zidovudine is combined with Linezolid.]
[J05AE09, tipranavir, The metabolism of Zidovudine can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Zidovudine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Zidovudine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Zidovudine.]
[N04BD03, safinamide, Safinamide may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Sarilumab.]
