[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Efavirenz.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be decreased when combined with Efavirenz.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Efavirenz.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Efavirenz.]
[J01EC01, sulfamethoxazole, The metabolism of Sulfamethoxazole can be decreased when combined with Efavirenz.]
[M04AB02, sulfinpyrazone, The metabolism of Sulfinpyrazone can be decreased when combined with Efavirenz.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Efavirenz.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Efavirenz.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Efavirenz is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Efavirenz.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Efavirenz.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Efavirenz.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Efavirenz.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Efavirenz.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Efavirenz.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Efavirenz.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Tetracycline can be decreased when combined with Efavirenz.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be decreased when combined with Efavirenz.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Efavirenz.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Apomorphine.]
[L04AX02, thalidomide, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Efavirenz.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Efavirenz.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Efavirenz.]
[A11DA01, thiamine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Thiamine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Efavirenz.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Efavirenz.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Efavirenz.]
[N05CA19, thiopental, The metabolism of Thiopental can be increased when combined with Efavirenz.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Efavirenz is combined with Thiothixene.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Efavirenz is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Efavirenz can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Efavirenz.]
[P01AB02, tinidazole, The metabolism of Tinidazole can be decreased when combined with Efavirenz.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Efavirenz.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Efavirenz.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Efavirenz.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Efavirenz.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Efavirenz.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be decreased when combined with Efavirenz.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Efavirenz.]
[N05CD05, triazolam, The metabolism of Triazolam can be decreased when combined with Efavirenz.]
[A03AB12, mepenzolate, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Trifluperidol.]
