[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rilpivirine.]
[L04AA27, fingolimod, The metabolism of Fingolimod can be decreased when combined with Rilpivirine.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Rilpivirine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Rilpivirine.]
[M04AB02, sulfinpyrazone, The serum concentration of Rilpivirine can be decreased when it is combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Sulfisoxazole.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Sulpiride.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Rilpivirine.]
[L02BA01, tamoxifen, The serum concentration of Rilpivirine can be decreased when it is combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Rilpivirine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Rilpivirine.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Rilpivirine.]
[G03BA03, testosterone, The serum concentration of Rilpivirine can be decreased when it is combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Tetrabenazine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Rilpivirine.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Rilpivirine.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Rilpivirine.]
[L04AX02, thalidomide, The serum concentration of Rilpivirine can be decreased when it is combined with Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Rilpivirine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Eribulin.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Rilpivirine.]
[N05CA19, thiopental, The serum concentration of Rilpivirine can be decreased when it is combined with Thiopental.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Rilpivirine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Rilpivirine.]
[B01AC05, ticlopidine, The metabolism of Rilpivirine can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Rilpivirine.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Rilpivirine.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Rilpivirine.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Rilpivirine.]
[N06AF04, tranylcypromine, The metabolism of Rilpivirine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Rilpivirine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Rilpivirine.]
[S01BA05, triamcinolone, The serum concentration of Rilpivirine can be decreased when it is combined with Triamcinolone.]
[R03BA07, mometasone, The serum concentration of Rilpivirine can be decreased when it is combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Rilpivirine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Rilpivirine.]
