[S02DA03, antipyrine, The metabolism of Ifosfamide can be decreased when combined with Antipyrine.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Ifosfamide.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Ifosfamide is combined with Streptokinase.]
[J01GA01, streptomycin, Ifosfamide may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Ifosfamide.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Ifosfamide.]
[L04AA27, fingolimod, Ifosfamide may increase the immunosuppressive activities of Fingolimod.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01CG01, sulbactam, Ifosfamide may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of methemoglobinemia can be increased when Sulfadiazine is combined with Ifosfamide.]
[S01AB01, sulfamethizole, The metabolism of Ifosfamide can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Ifosfamide.]
[J01EC03, sulfamoxole, The metabolism of Ifosfamide can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The risk or severity of methemoglobinemia can be increased when Sulfapyridine is combined with Ifosfamide.]
[M04AB02, sulfinpyrazone, The metabolism of Ifosfamide can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Ifosfamide can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Ifosfamide.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Ifosfamide.]
[L02BA01, tamoxifen, The metabolism of Ifosfamide can be increased when combined with Tamoxifen.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Ifosfamide.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Ifosfamide is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Ifosfamide can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Ifosfamide can be decreased when combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Ifosfamide.]
[N04BC07, apomorphine, The metabolism of Ifosfamide can be decreased when combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ifosfamide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Ifosfamide.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Ifosfamide.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Ifosfamide.]
[N05CA19, thiopental, The metabolism of Ifosfamide can be increased when combined with Thiopental.]
[G04BE06, moxisylyte, Ifosfamide may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Ifosfamide may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ifosfamide can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[S01AA12, tobramycin, Ifosfamide may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be increased when combined with Ifosfamide.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Ifosfamide.]
[N06AF04, tranylcypromine, The metabolism of Ifosfamide can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Ifosfamide.]
[N06AX05, trazodone, The metabolism of Ifosfamide can be decreased when combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Ifosfamide can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Ifosfamide can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The metabolism of Ifosfamide can be decreased when combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Ifosfamide may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Ifosfamide.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Fluclorolone.]
[R03BA07, mometasone, The metabolism of Ifosfamide can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Ifosfamide may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be increased when combined with Ifosfamide.]
[J01EA01, trimethoprim, The metabolism of Ifosfamide can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Ifosfamide can be decreased when combined with Trimipramine.]
[J01FA08, troleandomycin, The metabolism of Ifosfamide can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Ifosfamide.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Belimumab.]
[L01FX04, ipilimumab, Ifosfamide may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Ifosfamide.]
[R02AA14, oxyquinoline, Ifosfamide may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Ifosfamide can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Ifosfamide can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Ifosfamide can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Ifosfamide can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Ifosfamide.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Ifosfamide is combined with Urokinase.]
[S01AA28, vancomycin, Ifosfamide may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Belatacept.]
[N03AX21, ezogabine, Ifosfamide may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Ifosfamide is combined with Rivaroxaban.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Ifosfamide is combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Ifosfamide can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Ifosfamide can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Ifosfamide can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Ifosfamide.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Ifosfamide.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Ifosfamide.]
[A11HA03, vitamin E, The metabolism of Ifosfamide can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Ifosfamide can be increased when combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Ifosfamide can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ifosfamide.]
[N05AF05, zuclopenthixol, The metabolism of Ifosfamide can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Ifosfamide can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Ifosfamide can be increased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Ifosfamide.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[B06AC02, icatibant, Ifosfamide may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Ifosfamide can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Ifosfamide can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N05AE04, ziprasidone, The metabolism of Ifosfamide can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Ifosfamide can be decreased when combined with Drospirenone.]
[V03AC02, deferiprone, Ifosfamide may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Ifosfamide.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Ifosfamide.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Ifosfamide.]
[G04BD07, tolterodine, Tolterodine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DH04, doripenem, Ifosfamide may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Ifosfamide.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Ifosfamide.]
[J02AC03, voriconazole, The metabolism of Ifosfamide can be decreased when combined with Voriconazole.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Ifosfamide.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Ifosfamide.]
[R07AX02, ivacaftor, The metabolism of Ifosfamide can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Ifosfamide can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Ifosfamide.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Ifosfamide.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ifosfamide.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Ifosfamide.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Ifosfamide.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Ifosfamide.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Ifosfamide.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Ifosfamide is combined with Pertuzumab.]
[A08AA11, lorcaserin, The metabolism of Ifosfamide can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, Ifosfamide may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Ifosfamide can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Ifosfamide can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Ifosfamide can be increased when combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Ifosfamide.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Ifosfamide is combined with Defibrotide.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Aldosterone.]
