[S02DA03, antipyrine, The metabolism of Bendamustine can be decreased when combined with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Bendamustine.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Bendamustine.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Bendamustine.]
[L04AA27, fingolimod, Bendamustine may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Bendamustine.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Bendamustine.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Bendamustine.]
[N06DA01, tacrine, The metabolism of Bendamustine can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The serum concentration of Bendamustine can be increased when it is combined with Tamoxifen.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Bendamustine.]
[B01AE07, dabigatran etexilate, The serum concentration of Bendamustine can be increased when it is combined with Dabigatran etexilate.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Tetracaine.]
[A04AD10, dronabinol, The metabolism of Bendamustine can be decreased when combined with Dronabinol.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Bendamustine.]
[R03DA07, theobromine, The metabolism of Bendamustine can be decreased when combined with Theobromine.]
[R03DA04, theophylline, The metabolism of Bendamustine can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, The metabolism of Bendamustine can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Bendamustine is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Thiotepa is combined with Bendamustine.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Bendamustine.]
[N05AF04, thiothixene, The metabolism of Bendamustine can be decreased when combined with Thiothixene.]
[B01AC05, ticlopidine, The metabolism of Bendamustine can be decreased when combined with Ticlopidine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Bendamustine.]
[N06AX05, trazodone, The serum concentration of Bendamustine can be decreased when it is combined with Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Bendamustine.]
