[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Busulfan.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Busulfan.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Busulfan.]
[L04AA27, fingolimod, Busulfan may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Busulfan.]
[M04AB02, sulfinpyrazone, The metabolism of Busulfan can be increased when combined with Sulfinpyrazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Busulfan is combined with Mercaptopurine.]
[L02BA01, tamoxifen, The metabolism of Busulfan can be increased when combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Busulfan can be decreased when combined with Teniposide.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Busulfan.]
[G03BA03, testosterone, The metabolism of Busulfan can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Busulfan can be decreased when combined with Tetracycline.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Busulfan is combined with Thalidomide.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Busulfan is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Busulfan is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Busulfan.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Busulfan.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Busulfan.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Busulfan.]
[S01BA05, triamcinolone, The metabolism of Busulfan can be increased when combined with Triamcinolone.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Busulfan.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Busulfan.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Busulfan is combined with Fluclorolone.]
[R03BA07, mometasone, The metabolism of Busulfan can be increased when combined with Mometasone.]
[J01FA08, troleandomycin, The metabolism of Busulfan can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Busulfan.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Busulfan is combined with Belimumab.]
[A10BH05, linagliptin, The metabolism of Busulfan can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Busulfan can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Busulfan can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Busulfan can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Busulfan.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Busulfan is combined with Belatacept.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Rivaroxaban is combined with Busulfan.]
[B01AC24, ticagrelor, The metabolism of Busulfan can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Busulfan can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Busulfan can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Busulfan can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Busulfan.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Busulfan.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Busulfan.]
[A11HA03, vitamin E, The metabolism of Busulfan can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Busulfan can be increased when combined with Warfarin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Busulfan.]
[N05AF05, zuclopenthixol, The metabolism of Busulfan can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Busulfan can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Busulfan can be increased when combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Busulfan can be decreased when combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Busulfan can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Busulfan.]
[R03DC01, zafirlukast, The metabolism of Busulfan can be decreased when combined with Zafirlukast.]
[N05AE04, ziprasidone, The metabolism of Busulfan can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Busulfan can be decreased when combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Busulfan.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Busulfan.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Busulfan is combined with Ruxolitinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Busulfan.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Busulfan.]
[J02AC03, voriconazole, The metabolism of Busulfan can be decreased when combined with Voriconazole.]
[R07AX02, ivacaftor, The metabolism of Busulfan can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Busulfan can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Busulfan.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Busulfan.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Busulfan.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Busulfan.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Busulfan.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Busulfan.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Busulfan.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Busulfan is combined with Pertuzumab.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Busulfan is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Busulfan can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Busulfan can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Busulfan can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Busulfan can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Busulfan is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Busulfan.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Busulfan is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Busulfan is combined with Aldosterone.]
[N05CA04, barbital, The metabolism of Busulfan can be increased when combined with Barbital.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Busulfan.]
[J05AE04, nelfinavir, The metabolism of Busulfan can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Busulfan is combined with Bendamustine.]
[N03AX22, perampanel, The metabolism of Busulfan can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, Busulfan may increase the immunosuppressive activities of Tofacitinib.]
[H01CB05, pasireotide, The metabolism of Busulfan can be decreased when combined with Pasireotide.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Busulfan is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Apixaban is combined with Busulfan.]
[C10AX12, lomitapide, The metabolism of Busulfan can be decreased when combined with Lomitapide.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Busulfan can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Busulfan.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Busulfan is combined with Pomalidomide.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Busulfan is combined with Dimethyl fumarate.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Benzocaine.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Busulfan is combined with Everolimus.]
[L01EC02, dabrafenib, The serum concentration of Busulfan can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Benzyl alcohol.]
[L03AA14, lipegfilgrastim, Busulfan may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Busulfan is combined with Ibrutinib.]
[N03AF04, eslicarbazepine, The metabolism of Busulfan can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Busulfan can be decreased when combined with Simeprevir.]
[N05CH03, tasimelteon, The metabolism of Busulfan can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Busulfan can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Busulfan can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Busulfan can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Busulfan can be increased when combined with Betamethasone.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Busulfan.]
[L04AC11, siltuximab, The metabolism of Busulfan can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Busulfan can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The metabolism of Busulfan can be decreased when combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Busulfan is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Acenocoumarol is combined with Busulfan.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Busulfan is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Busulfan is combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Busulfan is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The metabolism of Busulfan can be decreased when combined with Suvorexant.]
[J01XA05, oritavancin, The metabolism of Busulfan can be increased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Busulfan is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Busulfan is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Busulfan can be decreased when combined with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Busulfan is combined with Blinatumomab.]
[L01XK01, olaparib, The metabolism of Busulfan can be decreased when combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Busulfan.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Busulfan.]
[N06AX11, mirtazapine, The metabolism of Busulfan can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Busulfan can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Busulfan can be decreased when combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Busulfan is combined with Panobinostat.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Busulfan which could result in a higher serum level.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Busulfan.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Busulfan.]
[J05AP06, asunaprevir, The metabolism of Busulfan can be increased when combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Busulfan.]
[S01EC01, acetazolamide, The metabolism of Busulfan can be decreased when combined with Acetazolamide.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Busulfan is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Busulfan is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Busulfan can be increased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Busulfan can be decreased when combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The metabolism of Busulfan can be decreased when combined with Tenofovir alafenamide.]
[L01EE02, cobimetinib, The metabolism of Busulfan can be decreased when combined with Cobimetinib.]
[M04AB05, lesinurad, The metabolism of Busulfan can be increased when combined with Lesinurad.]
[N05CA05, aprobarbital, The metabolism of Busulfan can be increased when combined with Aprobarbital.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Busulfan is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Busulfan can be decreased when combined with Venetoclax.]
[N05AX17, pimavanserin, The metabolism of Busulfan can be decreased when combined with Pimavanserin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Busulfan can be decreased when combined with Buprenorphine.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Busulfan is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Busulfan can be decreased when combined with Fusidic acid.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Busulfan is combined with Arsenic trioxide.]
[L01XK03, rucaparib, The metabolism of Busulfan can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Busulfan can be decreased when combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Busulfan is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Busulfan can be decreased when combined with Ribociclib.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Busulfan.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Busulfan can be increased when combined with Calcitriol.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Busulfan.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Busulfan.]
[J05AE09, tipranavir, The metabolism of Busulfan can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Busulfan can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Busulfan can be decreased when combined with Midostaurin.]
[L04AC14, sarilumab, The metabolism of Busulfan can be increased when combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Busulfan.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Busulfan is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Busulfan can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Busulfan is combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Busulfan can be increased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Busulfan is combined with Vorinostat.]
[J05AG03, efavirenz, The metabolism of Busulfan can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Busulfan.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Busulfan.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Busulfan.]
[R03BA02, budesonide, The metabolism of Busulfan can be increased when combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Busulfan.]
[L01EL02, acalabrutinib, The metabolism of Busulfan can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Busulfan can be decreased when combined with Letermovir.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Busulfan.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Capsaicin.]
[L02BB05, apalutamide, The metabolism of Busulfan can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Busulfan can be increased when combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Busulfan.]
[B02BX09, fostamatinib, The metabolism of Busulfan can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Busulfan can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Busulfan is combined with Baricitinib.]
[L01XX62, ivosidenib, The metabolism of Busulfan can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Busulfan can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Busulfan can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Busulfan can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The metabolism of Busulfan can be decreased when combined with Dacomitinib.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Chloroprocaine.]
[L01ED05, lorlatinib, The metabolism of Busulfan can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Busulfan can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Busulfan.]
[L01EX13, gilteritinib, The metabolism of Busulfan can be decreased when combined with Gilteritinib.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Busulfan is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Busulfan.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Cilostazol is combined with Busulfan.]
[P02BX04, triclabendazole, The metabolism of Busulfan can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Busulfan can be increased when combined with Esketamine.]
