[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dacarbazine.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Dacarbazine.]
[J01GA01, streptomycin, Dacarbazine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Dacarbazine.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Dacarbazine.]
[L04AA27, fingolimod, Dacarbazine may increase the immunosuppressive activities of Fingolimod.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01CG01, sulbactam, Dacarbazine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Dacarbazine.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Dacarbazine.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Mercaptopurine.]
[N06DA01, tacrine, The metabolism of Dacarbazine can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Dacarbazine can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Dacarbazine.]
[R03CC03, terbutaline, Dacarbazine may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Dacarbazine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[A04AD10, dronabinol, The metabolism of Dacarbazine can be decreased when combined with Dronabinol.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Dacarbazine can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, The metabolism of Dacarbazine can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Dacarbazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Dacarbazine.]
[G04BE06, moxisylyte, Dacarbazine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Dacarbazine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Dacarbazine can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[P01AB02, tinidazole, Dacarbazine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Dacarbazine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[V04CA01, tolbutamide, Dacarbazine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Dacarbazine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Dacarbazine.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Dacarbazine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Dacarbazine may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Dacarbazine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
