[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Nelarabine.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Nelarabine.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Nelarabine.]
[L04AA27, fingolimod, Nelarabine may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Nelarabine.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Nelarabine.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Nelarabine.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Nelarabine.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Nelarabine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Tetracaine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Nelarabine.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Nelarabine is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Nelarabine is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Nelarabine.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Nelarabine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Nelarabine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Nelarabine.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Nelarabine.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Nelarabine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Nelarabine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Nelarabine is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Nelarabine.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Nelarabine.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Belimumab.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Nelarabine.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Nelarabine is combined with Belatacept.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Rivaroxaban is combined with Nelarabine.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Ticagrelor is combined with Nelarabine.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Nelarabine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Nelarabine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Nelarabine.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Nelarabine.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Warfarin is combined with Nelarabine.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Nelarabine.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Nelarabine is combined with Brentuximab vedotin.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Nelarabine.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Nelarabine.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Nelarabine.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ruxolitinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Nelarabine.]
