[S02DA03, antipyrine, The metabolism of Fluorouracil can be decreased when combined with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Fluorouracil.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Fluorouracil.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Fluorouracil.]
[L04AA27, fingolimod, Fluorouracil may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Fluorouracil can be decreased when combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Fluorouracil.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Fluorouracil.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Fluorouracil.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Fluorouracil.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Fluorouracil.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Mercaptopurine.]
[N06DA01, tacrine, The metabolism of Fluorouracil can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Fluorouracil can be decreased when combined with Tamoxifen.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Fluorouracil.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Fluorouracil.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Fluorouracil.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Fluorouracil.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Fluorouracil.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Fluorouracil.]
[N04BC07, apomorphine, The metabolism of Fluorouracil can be decreased when combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Fluorouracil.]
[R03DA04, theophylline, The metabolism of Fluorouracil can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, The metabolism of Fluorouracil can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Fluorouracil.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Fluorouracil.]
[B01AC05, ticlopidine, The metabolism of Fluorouracil can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Fluorouracil.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Fluorouracil.]
[V04CA01, tolbutamide, The metabolism of Fluorouracil can be decreased when combined with Tolbutamide.]
[N06AF04, tranylcypromine, The metabolism of Fluorouracil can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Fluorouracil.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Fluorouracil.]
[L01XF01, tretinoin, The metabolism of Fluorouracil can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Fluorouracil can be decreased when combined with Triamterene.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Fluorouracil.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Fluorouracil.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Fluorouracil.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Fluclorolone.]
[R03BA07, mometasone, The metabolism of Fluorouracil can be decreased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Trimebutine is combined with Fluorouracil.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Fluorouracil.]
[N03AC02, trimethadione, The metabolism of Fluorouracil can be decreased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Fluorouracil can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Fluorouracil.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Fluorouracil.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Fluorouracil.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Belimumab.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Vandetanib.]
