[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Capecitabine.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Capecitabine.]
[J01GA01, streptomycin, Capecitabine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Capecitabine.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Capecitabine.]
[L04AA27, fingolimod, Capecitabine may increase the immunosuppressive activities of Fingolimod.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01CG01, sulbactam, Capecitabine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Capecitabine can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Capecitabine can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Capecitabine.]
[J01EC03, sulfamoxole, The metabolism of Capecitabine can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Capecitabine can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Capecitabine can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Capecitabine can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Capecitabine.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Capecitabine.]
[L02BA01, tamoxifen, The metabolism of Capecitabine can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Capecitabine can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Capecitabine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Capecitabine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[A04AD10, dronabinol, The metabolism of Capecitabine can be decreased when combined with Dronabinol.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Capecitabine.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Capecitabine is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Capecitabine is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Capecitabine.]
[G04BE06, moxisylyte, Capecitabine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Capecitabine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Capecitabine can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01AA12, tobramycin, Capecitabine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Capecitabine.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Capecitabine.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N06AF04, tranylcypromine, The metabolism of Capecitabine can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Capecitabine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Capecitabine.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Capecitabine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Capecitabine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Capecitabine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Capecitabine is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Capecitabine.]
[A03AA05, trimebutine, Capecitabine may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Capecitabine.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Capecitabine.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Capecitabine.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Capecitabine.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Belimumab.]
[L01FX04, ipilimumab, Capecitabine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Capecitabine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[J05AG05, rilpivirine, The metabolism of Capecitabine can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Capecitabine.]
[S01AA28, vancomycin, Capecitabine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Capecitabine is combined with Belatacept.]
[N03AX21, ezogabine, Capecitabine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Capecitabine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, The metabolism of Capecitabine can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Capecitabine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, Capecitabine may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Capecitabine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Capecitabine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Capecitabine.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Capecitabine.]
[B01AA03, warfarin, Warfarin may increase the anticoagulant activities of Capecitabine.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Capecitabine.]
[L01EC01, vemurafenib, The metabolism of Capecitabine can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Capecitabine is combined with Brentuximab vedotin.]
[M05BA05, tiludronic acid, Capecitabine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Capecitabine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Capecitabine.]
[R03DC01, zafirlukast, The metabolism of Capecitabine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Capecitabine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Capecitabine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Capecitabine.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Capecitabine.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Capecitabine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Capecitabine.]
[J01DH04, doripenem, Capecitabine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Capecitabine.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Capecitabine.]
[J02AC03, voriconazole, The metabolism of Capecitabine can be decreased when combined with Voriconazole.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Capecitabine.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Capecitabine is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Capecitabine.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Capecitabine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Capecitabine.]
[L01BC05, gemcitabine, The serum concentration of Capecitabine can be increased when it is combined with Gemcitabine.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Capecitabine.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Capecitabine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Capecitabine.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Capecitabine is combined with Pertuzumab.]
[A08AA11, lorcaserin, Capecitabine may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Capecitabine may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Carfilzomib.]
[L02BB04, enzalutamide, The metabolism of Capecitabine can be increased when combined with Enzalutamide.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Capecitabine is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Capecitabine.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Capecitabine is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Capecitabine is combined with Aldosterone.]
[L01EX05, regorafenib, The metabolism of Capecitabine can be decreased when combined with Regorafenib.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Capecitabine.]
[D02BA02, octinoxate, Capecitabine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Capecitabine can be increased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Bendamustine.]
[N04BD02, rasagiline, Capecitabine may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Capecitabine.]
[L04AA29, tofacitinib, Capecitabine may increase the immunosuppressive activities of Tofacitinib.]
[V09IX04, fluorodeoxyglucose F18, Capecitabine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Capecitabine.]
[G04BE03, sildenafil, The metabolism of Capecitabine can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Capecitabine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
