[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Vindesine.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Vindesine.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Vindesine is combined with Streptozocin.]
[L04AA27, fingolimod, Vindesine may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Vindesine.]
[M04AB02, sulfinpyrazone, The metabolism of Vindesine can be increased when combined with Sulfinpyrazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Vindesine is combined with Mercaptopurine.]
[L02BA01, tamoxifen, The metabolism of Vindesine can be increased when combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Vindesine can be decreased when combined with Teniposide.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Vindesine.]
[G03BA03, testosterone, The metabolism of Vindesine can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Vindesine can be decreased when combined with Tetracycline.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Vindesine is combined with Thalidomide.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Vindesine is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Vindesine is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Vindesine is combined with Tioguanine.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Vindesine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Vindesine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Vindesine is combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Vindesine can be increased when combined with Triamcinolone.]
