[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Vinorelbine.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Vinorelbine.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Vinorelbine.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Streptozocin.]
[L04AA27, fingolimod, Vinorelbine may increase the immunosuppressive activities of Fingolimod.]
[M03AB01, succinylcholine, Succinylcholine may increase the neurotoxic activities of Vinorelbine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Vinorelbine.]
[M04AB02, sulfinpyrazone, The metabolism of Vinorelbine can be increased when combined with Sulfinpyrazone.]
[N05AL01, sulpiride, Vinorelbine may increase the neurotoxic activities of Sulpiride.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Mercaptopurine.]
[L02BA01, tamoxifen, The metabolism of Vinorelbine can be increased when combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Vinorelbine can be decreased when combined with Teniposide.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Vinorelbine.]
[G03BA03, testosterone, The metabolism of Vinorelbine can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Vinorelbine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Vinorelbine can be decreased when combined with Tetracycline.]
[N05AE05, lurasidone, Vinorelbine may increase the neurotoxic activities of Lurasidone.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Vinorelbine.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Eribulin.]
[R06AD03, thiethylperazine, Vinorelbine may increase the neurotoxic activities of Thiethylperazine.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Vinorelbine.]
[N05AB08, thioproperazine, Vinorelbine may increase the neurotoxic activities of Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Vinorelbine.]
[N05AF04, thiothixene, Vinorelbine may increase the neurotoxic activities of Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Vinorelbine.]
[N05AL03, tiapride, Vinorelbine may increase the neurotoxic activities of Tiapride.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Vinorelbine.]
