[S02DA03, antipyrine, The metabolism of Cabazitaxel can be decreased when combined with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Cabazitaxel.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Cabazitaxel.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Antilymphocyte immunoglobulin (horse).]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Cabazitaxel.]
[L04AA27, fingolimod, Cabazitaxel may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Cabazitaxel can be decreased when combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Cabazitaxel.]
[M04AB02, sulfinpyrazone, The metabolism of Cabazitaxel can be increased when combined with Sulfinpyrazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Cabazitaxel.]
[L02BA01, tamoxifen, The serum concentration of Cabazitaxel can be increased when it is combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Cabazitaxel can be decreased when combined with Teniposide.]
[B01AE07, dabigatran etexilate, The serum concentration of Cabazitaxel can be increased when it is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Cabazitaxel can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Cabazitaxel can be decreased when combined with Tetracycline.]
[N04BC07, apomorphine, The metabolism of Cabazitaxel can be decreased when combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Cabazitaxel.]
[R03DA04, theophylline, The metabolism of Cabazitaxel can be decreased when combined with Theophylline.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Thiotepa is combined with Cabazitaxel.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Cabazitaxel.]
[B01AC05, ticlopidine, The metabolism of Cabazitaxel can be decreased when combined with Ticlopidine.]
[V04CA01, tolbutamide, The metabolism of Cabazitaxel can be decreased when combined with Tolbutamide.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Cabazitaxel.]
[N06AX05, trazodone, The serum concentration of Cabazitaxel can be decreased when it is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Cabazitaxel can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Cabazitaxel can be increased when combined with Triamcinolone.]
[N05CD05, triazolam, The metabolism of Cabazitaxel can be decreased when combined with Triazolam.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Cabazitaxel.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Cabazitaxel.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Fluclorolone.]
[R03BA07, mometasone, The metabolism of Cabazitaxel can be increased when combined with Mometasone.]
[N03AC02, trimethadione, The metabolism of Cabazitaxel can be decreased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Cabazitaxel can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Cabazitaxel.]
[J01FA08, troleandomycin, The metabolism of Cabazitaxel can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Cabazitaxel.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Belimumab.]
[L01EX04, vandetanib, The serum concentration of Cabazitaxel can be increased when it is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Cabazitaxel can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The serum concentration of Cabazitaxel can be increased when it is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Cabazitaxel can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Cabazitaxel can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Cabazitaxel can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Cabazitaxel.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Cabazitaxel.]
[B01AF01, rivaroxaban, The metabolism of Cabazitaxel can be decreased when combined with Rivaroxaban.]
[R03AC18, indacaterol, The serum concentration of Cabazitaxel can be increased when it is combined with Indacaterol.]
[B01AC24, ticagrelor, The serum concentration of Cabazitaxel can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Cabazitaxel can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Cabazitaxel can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Cabazitaxel can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Cabazitaxel can be decreased when combined with Vincristine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Cabazitaxel.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Cabazitaxel.]
[A11HA03, vitamin E, The metabolism of Cabazitaxel can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Cabazitaxel can be increased when combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Cabazitaxel can be decreased when combined with Fusidic acid.]
[J05AF01, zidovudine, The metabolism of Cabazitaxel can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The metabolism of Cabazitaxel can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Cabazitaxel can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Cabazitaxel can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Cabazitaxel can be decreased when combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Cabazitaxel can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Cabazitaxel.]
[R03DC01, zafirlukast, The metabolism of Cabazitaxel can be decreased when combined with Zafirlukast.]
[N05AE04, ziprasidone, The metabolism of Cabazitaxel can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Cabazitaxel can be decreased when combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Cabazitaxel.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Cabazitaxel.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Ruxolitinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Cabazitaxel.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Cabazitaxel.]
[J02AC03, voriconazole, The metabolism of Cabazitaxel can be decreased when combined with Voriconazole.]
[L01EK01, axitinib, The metabolism of Cabazitaxel can be decreased when combined with Axitinib.]
