[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Irinotecan.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Irinotecan.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Irinotecan.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Irinotecan.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Irinotecan.]
[L04AA27, fingolimod, Irinotecan may increase the immunosuppressive activities of Fingolimod.]
[M03AB01, succinylcholine, The serum concentration of Irinotecan can be increased when it is combined with Succinylcholine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Irinotecan.]
[M04AB02, sulfinpyrazone, The metabolism of Irinotecan can be increased when combined with Sulfinpyrazone.]
[N05AL01, sulpiride, Sulpiride may increase the neuromuscular blocking activities of Irinotecan.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Mercaptopurine.]
[N06DA01, tacrine, Tacrine may increase the neuromuscular blocking activities of Irinotecan.]
[L02BA01, tamoxifen, The metabolism of Irinotecan can be increased when combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Irinotecan can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Terbutaline may increase the neuromuscular blocking activities of Irinotecan.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Irinotecan.]
[G03BA03, testosterone, The metabolism of Irinotecan can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Irinotecan can be decreased when combined with Tetracycline.]
[A04AD10, dronabinol, The metabolism of Irinotecan can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The metabolism of Irinotecan can be decreased when combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Irinotecan is combined with Thalidomide.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Irinotecan is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Irinotecan is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Irinotecan.]
[B02AB01, aprotinin, Aprotinin may increase the neuromuscular blocking activities of Irinotecan.]
[G04BE06, moxisylyte, The serum concentration of Moxisylyte can be increased when it is combined with Irinotecan.]
[B01AC05, ticlopidine, The metabolism of Irinotecan can be decreased when combined with Ticlopidine.]
[N02AX02, tramadol, The metabolism of Irinotecan can be decreased when combined with Tramadol.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Irinotecan.]
[N06AX05, trazodone, The metabolism of Irinotecan can be decreased when combined with Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Irinotecan.]
[S01BA05, triamcinolone, The metabolism of Irinotecan can be increased when combined with Triamcinolone.]
[N05CD05, triazolam, The metabolism of Triazolam can be decreased when combined with Irinotecan.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Irinotecan.]
[S01EB04, demecarium, Demecarium may increase the neuromuscular blocking activities of Irinotecan.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Irinotecan.]
[N05AA05, triflupromazine, Triflupromazine may increase the neuromuscular blocking activities of Irinotecan.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Irinotecan is combined with Fluclorolone.]
[R03BA07, mometasone, The metabolism of Irinotecan can be increased when combined with Mometasone.]
[C02BA01, trimethaphan, The serum concentration of Trimethaphan can be increased when it is combined with Irinotecan.]
[J01FA08, troleandomycin, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Troleandomycin.]
[M03AA02, tubocurarine, Tubocurarine may increase the neuromuscular blocking activities of Irinotecan.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Irinotecan.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Belimumab.]
[S01AA05, tyrothricin, Tyrothricin may increase the neuromuscular blocking activities of Irinotecan.]
[L01EX04, vandetanib, Vandetanib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Irinotecan can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Irinotecan can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Irinotecan.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Irinotecan is combined with Belatacept.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Irinotecan.]
[B01AC24, ticagrelor, The metabolism of Irinotecan can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Irinotecan can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Irinotecan can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Irinotecan can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Irinotecan.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Irinotecan.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Irinotecan.]
[A11HA03, vitamin E, The metabolism of Irinotecan can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Irinotecan can be increased when combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Irinotecan can be decreased when combined with Fusidic acid.]
[J05AF01, zidovudine, The metabolism of Irinotecan can be increased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The metabolism of Irinotecan can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Irinotecan can be increased when combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Irinotecan can be decreased when combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Irinotecan can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Irinotecan.]
