[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Epirubicin.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Epirubicin.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Epirubicin.]
[L04AA27, fingolimod, Epirubicin may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Epirubicin.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Epirubicin.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Mercaptopurine.]
[L02BA01, tamoxifen, The risk or severity of cardiotoxicity can be increased when Epirubicin is combined with Tamoxifen.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Epirubicin.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Epirubicin.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Tetracaine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Thalidomide.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Epirubicin is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Epirubicin.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Epirubicin.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Epirubicin.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Triamcinolone.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Epirubicin.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Epirubicin.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Mometasone.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Epirubicin.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Belimumab.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Epirubicin.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Epirubicin is combined with Belatacept.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Rivaroxaban is combined with Epirubicin.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Ticagrelor is combined with Epirubicin.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Vincristine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Epirubicin.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Epirubicin.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Warfarin is combined with Epirubicin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Zidovudine.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Brentuximab vedotin.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Epirubicin.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Epirubicin.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Epirubicin.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ruxolitinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Epirubicin.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Epirubicin.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Epirubicin is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Epirubicin.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Epirubicin.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Epirubicin.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Epirubicin.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Epirubicin is combined with Pertuzumab.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Carfilzomib.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Epirubicin.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Epirubicin is combined with Abetimus.]
