[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Idarubicin.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Idarubicin.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Idarubicin.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Idarubicin.]
[L04AA27, fingolimod, Idarubicin may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Idarubicin can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Idarubicin can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Idarubicin.]
[J01EC03, sulfamoxole, The metabolism of Idarubicin can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Idarubicin can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Idarubicin can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Idarubicin can be decreased when combined with Sulfisoxazole.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Idarubicin.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Idarubicin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Idarubicin.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Idarubicin.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Idarubicin.]
[G03BA03, testosterone, The metabolism of Idarubicin can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Idarubicin.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Tetracaine.]
[A04AD10, dronabinol, The metabolism of Idarubicin can be decreased when combined with Dronabinol.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Idarubicin.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Idarubicin.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Idarubicin is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Idarubicin.]
[N05AC02, thioridazine, The metabolism of Idarubicin can be decreased when combined with Thioridazine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Idarubicin.]
[B01AC05, ticlopidine, The metabolism of Idarubicin can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The metabolism of Idarubicin can be decreased when combined with Timolol.]
[A10BB05, tolazamide, The metabolism of Idarubicin can be decreased when combined with Tolazamide.]
[V04CA01, tolbutamide, The metabolism of Idarubicin can be decreased when combined with Tolbutamide.]
[N02AX02, tramadol, The metabolism of Idarubicin can be decreased when combined with Tramadol.]
