[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Mitomycin.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Mitomycin.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Streptozocin.]
[L04AA27, fingolimod, Mitomycin may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Mitomycin.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Mitomycin.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Mercaptopurine.]
[L02BA01, tamoxifen, The risk or severity of cardiotoxicity can be increased when Mitomycin is combined with Tamoxifen.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Teniposide.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Mitomycin.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Tetracaine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Thalidomide.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Mitomycin is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Tioguanine.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Mitomycin.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Mitomycin.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Triamcinolone.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Mitomycin.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Trifluridine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Mometasone.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Mitomycin.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Belimumab.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Mitomycin.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Mitomycin is combined with Belatacept.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Rivaroxaban is combined with Mitomycin.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Ticagrelor is combined with Mitomycin.]
[L01CA01, vinblastine, The risk or severity of bronchospasm, shortness of breath, and dyspnea can be increased when Vinblastine is combined with Mitomycin.]
[C04AX07, vincamine, The risk or severity of bronchospasm, shortness of breath, and dyspnea can be increased when Vincamine is combined with Mitomycin.]
[L01CA02, vincristine, The risk or severity of bronchospasm, shortness of breath, and dyspnea can be increased when Vincristine is combined with Mitomycin.]
[L01CA03, vindesine, The risk or severity of bronchospasm, shortness of breath, and dyspnea can be increased when Vindesine is combined with Mitomycin.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Mitomycin.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Warfarin is combined with Mitomycin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Zidovudine.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Brentuximab vedotin.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Mitomycin.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Mitomycin.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Mitomycin.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ruxolitinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Mitomycin.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Mitomycin.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Mitomycin is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Mitomycin.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Gemcitabine.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Mitomycin.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Mitomycin.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Mitomycin is combined with Pertuzumab.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Carfilzomib.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Mitomycin.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Mitomycin is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Aldosterone.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Mitomycin.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Bendamustine.]
[L04AA29, tofacitinib, Mitomycin may increase the immunosuppressive activities of Tofacitinib.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Apixaban is combined with Mitomycin.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Mitomycin.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Pomalidomide.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Mitomycin is combined with Dimethyl fumarate.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Benzocaine.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Mitomycin is combined with Everolimus.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Benzyl alcohol.]
[L03AA14, lipegfilgrastim, Mitomycin may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ibrutinib.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Mitomycin is combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Betamethasone.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Mitomycin.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Siltuximab.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vorapaxar is combined with Mitomycin.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Acenocoumarol is combined with Mitomycin.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Mitomycin is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Mitomycin is combined with Peginterferon beta-1a.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Pirfenidone.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Mitomycin.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Mitomycin.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Mitomycin is combined with Panobinostat.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Mitomycin.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Mitomycin.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Mitomycin.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Mepolizumab.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ixekizumab.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Bupivacaine.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Mitomycin is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Arsenic trioxide.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Brodalumab.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Mitomycin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Mitomycin.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Mitomycin is combined with Linezolid.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Mitomycin.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Mitomycin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Capecitabine.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Mitomycin is combined with Vorinostat.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Mitomycin.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Mitomycin.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Mitomycin.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Mitomycin.]
