[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Imatinib.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Imatinib.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Imatinib.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Imatinib.]
[L04AA27, fingolimod, Imatinib may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Imatinib can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Imatinib can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Imatinib.]
[J01EC03, sulfamoxole, The metabolism of Imatinib can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Imatinib can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Imatinib can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Imatinib.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Imatinib is combined with Sulpiride.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Imatinib.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Imatinib is combined with Mercaptopurine.]
[N06DA01, tacrine, The metabolism of Imatinib can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The serum concentration of Tamoxifen can be increased when it is combined with Imatinib.]
[L01CB02, teniposide, The serum concentration of Teniposide can be increased when it is combined with Imatinib.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Imatinib.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Imatinib.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Imatinib.]
[N07XX06, tetrabenazine, The serum concentration of Tetrabenazine can be increased when it is combined with Imatinib.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Imatinib.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Imatinib.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Imatinib.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Imatinib is combined with Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Imatinib.]
[R03DA04, theophylline, The serum concentration of Theophylline can be increased when it is combined with Imatinib.]
