[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dasatinib.]
[B01AD01, streptokinase, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Streptokinase.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Dasatinib.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Dasatinib.]
[L04AA27, fingolimod, Dasatinib may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Dasatinib.]
[M04AB02, sulfinpyrazone, Dasatinib may increase the anticoagulant activities of Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Sulfisoxazole.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Sulpiride.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Dasatinib.]
[N06DA01, tacrine, The metabolism of Dasatinib can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The serum concentration of Dasatinib can be increased when it is combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Dasatinib.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Dasatinib.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Dasatinib can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Dasatinib can be decreased when combined with Tetracycline.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Dasatinib.]
[N04BC07, apomorphine, The metabolism of Dasatinib can be decreased when combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Dasatinib.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Dasatinib.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Dasatinib.]
[P02CA02, thiabendazole, The metabolism of Dasatinib can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Dasatinib is combined with Eribulin.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Dasatinib.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Dasatinib.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Thiothixene.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Thyrotropin can be decreased when used in combination with Dasatinib.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Protirelin can be decreased when used in combination with Dasatinib.]
[B01AC05, ticlopidine, Dasatinib may increase the anticoagulant activities of Ticlopidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Dasatinib.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Dasatinib.]
[C01DX11, trapidil, Dasatinib may increase the anticoagulant activities of Trapidil.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Dasatinib.]
[L01XF01, tretinoin, The metabolism of Dasatinib can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Dasatinib can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Dasatinib can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The metabolism of Dasatinib can be decreased when combined with Triazolam.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Dasatinib.]
[N05AB06, trifluoperazine, The metabolism of Dasatinib can be decreased when combined with Trifluoperazine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Dasatinib.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Dasatinib is combined with Fluclorolone.]
[R03BA07, mometasone, The metabolism of Dasatinib can be increased when combined with Mometasone.]
