[S02DA03, antipyrine, The metabolism of Encorafenib can be decreased when combined with Antipyrine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Encorafenib.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Encorafenib.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Encorafenib.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Encorafenib.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Encorafenib.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Encorafenib.]
[A04AD10, dronabinol, The metabolism of Encorafenib can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Encorafenib.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Encorafenib.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Encorafenib.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Encorafenib.]
[C01BB04, aprindine, The metabolism of Encorafenib can be decreased when combined with Aprindine.]
[B01AC05, ticlopidine, The metabolism of Encorafenib can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Encorafenib.]
[N02AX02, tramadol, The metabolism of Encorafenib can be decreased when combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Encorafenib can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Encorafenib.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Trimebutine is combined with Encorafenib.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Encorafenib.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Encorafenib.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Encorafenib.]
[R06AC04, tripelennamine, The metabolism of Encorafenib can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Encorafenib.]
[J01FA08, troleandomycin, The metabolism of Encorafenib can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Encorafenib can be decreased when combined with Vilazodone.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Encorafenib can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Encorafenib can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Encorafenib can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Encorafenib can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Encorafenib can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Encorafenib.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Encorafenib.]
[C08DA01, verapamil, The metabolism of Encorafenib can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Encorafenib can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Encorafenib can be decreased when combined with Vinblastine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Encorafenib can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Vemurafenib.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Crizotinib is combined with Encorafenib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Encorafenib.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Ziprasidone.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Encorafenib.]
[C07AB03, atenolol, The metabolism of Encorafenib can be decreased when combined with Atenolol.]
[J02AC03, voriconazole, The metabolism of Encorafenib can be decreased when combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Encorafenib.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Encorafenib.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Encorafenib.]
[A08AA11, lorcaserin, The metabolism of Encorafenib can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Encorafenib can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Encorafenib can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Encorafenib can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Encorafenib can be decreased when it is combined with Enzalutamide.]
[J05AE04, nelfinavir, The metabolism of Encorafenib can be decreased when combined with Nelfinavir.]
[N06DA02, donepezil, The metabolism of Encorafenib can be decreased when combined with Donepezil.]
[G04BD10, darifenacin, The metabolism of Encorafenib can be decreased when combined with Darifenacin.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Encorafenib.]
[G04BE03, sildenafil, The metabolism of Encorafenib can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Encorafenib.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bedaquiline is combined with Encorafenib.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Encorafenib.]
[A10BH04, alogliptin, The metabolism of Encorafenib can be decreased when combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Encorafenib can be decreased when combined with Glycerol phenylbutyrate.]
[G03XC05, ospemifene, The metabolism of Encorafenib can be decreased when combined with Ospemifene.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Encorafenib.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Encorafenib.]
[A06AX06, tegaserod, The metabolism of Encorafenib can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Encorafenib can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Encorafenib can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Encorafenib.]
[L01EC02, dabrafenib, The serum concentration of Encorafenib can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Encorafenib can be decreased when combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Bepridil.]
[L01EL01, ibrutinib, The metabolism of Encorafenib can be decreased when combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Encorafenib can be decreased when combined with Vortioxetine.]
[J05AP05, simeprevir, The metabolism of Encorafenib can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The metabolism of Encorafenib can be decreased when combined with Dapagliflozin.]
[C07AB04, acebutolol, The metabolism of Encorafenib can be decreased when combined with Acebutolol.]
[A16AA07, metreleptin, The metabolism of Encorafenib can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Encorafenib can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The metabolism of Encorafenib can be decreased when combined with Betaxolol.]
[L04AC11, siltuximab, The metabolism of Encorafenib can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Ceritinib is combined with Encorafenib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Encorafenib.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Encorafenib.]
[A16AX10, eliglustat, The metabolism of Encorafenib can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Encorafenib can be decreased when combined with Oritavancin.]
[N04AA02, biperiden, The metabolism of Encorafenib can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Encorafenib can be decreased when combined with Pirfenidone.]
[J05AP09, dasabuvir, The metabolism of Encorafenib can be decreased when combined with Dasabuvir.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Encorafenib.]
[L04AC10, secukinumab, The metabolism of Encorafenib can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lenvatinib is combined with Encorafenib.]
[L01XH03, panobinostat, The metabolism of Encorafenib can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Encorafenib can be decreased when combined with Acetaminophen.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Encorafenib.]
[J05AP06, asunaprevir, The metabolism of Encorafenib can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The metabolism of Encorafenib can be decreased when combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Encorafenib can be decreased when combined with Rolapitant.]
[A02BC03, lansoprazole, The metabolism of Encorafenib can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Encorafenib.]
[J02AC05, isavuconazole, The metabolism of Encorafenib can be decreased when combined with Isavuconazole.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Encorafenib.]
[L01XX52, venetoclax, The metabolism of Encorafenib can be decreased when combined with Venetoclax.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Encorafenib.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Encorafenib.]
[N07BC01, buprenorphine, The metabolism of Encorafenib can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Encorafenib.]
[N05BE01, buspirone, The metabolism of Encorafenib can be decreased when combined with Buspirone.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Encorafenib.]
[S01GX07, azelastine, The metabolism of Encorafenib can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Encorafenib can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Encorafenib.]
[L01EF02, ribociclib, The metabolism of Encorafenib can be decreased when combined with Ribociclib.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Encorafenib.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Oxybuprocaine.]
[J05AE09, tipranavir, The metabolism of Encorafenib can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Encorafenib.]
[L04AB02, infliximab, The metabolism of Encorafenib can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Encorafenib can be decreased when combined with Midostaurin.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Encorafenib.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Encorafenib.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Encorafenib.]
[J05AG03, efavirenz, The metabolism of Encorafenib can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Encorafenib can be decreased when combined with Bopindolol.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Encorafenib.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Encorafenib.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Encorafenib.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Capsaicin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Encorafenib.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Encorafenib can be increased when combined with Apalutamide.]
