[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Palbociclib.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Palbociclib.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Palbociclib.]
[L04AA27, fingolimod, Palbociclib may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Palbociclib.]
[M04AB02, sulfinpyrazone, The metabolism of Palbociclib can be increased when combined with Sulfinpyrazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Palbociclib.]
[L02BA01, tamoxifen, The metabolism of Palbociclib can be increased when combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Palbociclib.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Palbociclib.]
[G03BA03, testosterone, The metabolism of Palbociclib can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Palbociclib can be decreased when combined with Tetracycline.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Palbociclib.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Palbociclib.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Palbociclib.]
[A11DA01, thiamine, The risk or severity of adverse effects can be increased when Palbociclib is combined with Thiamine.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Palbociclib.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Palbociclib.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Palbociclib.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Palbociclib.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Palbociclib.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Palbociclib.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Palbociclib.]
[S01BA05, triamcinolone, The metabolism of Palbociclib can be increased when combined with Triamcinolone.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Palbociclib.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Palbociclib.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Palbociclib is combined with Fluclorolone.]
[R03BA07, mometasone, The metabolism of Palbociclib can be increased when combined with Mometasone.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Palbociclib.]
[J01FA08, troleandomycin, The metabolism of Palbociclib can be decreased when combined with Troleandomycin.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Palbociclib is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Palbociclib.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Palbociclib.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Palbociclib.]
[A10BH05, linagliptin, The metabolism of Palbociclib can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Palbociclib can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Palbociclib can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Palbociclib can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Palbociclib.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Palbociclib.]
[B01AF01, rivaroxaban, Palbociclib may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The serum concentration of Indacaterol can be increased when it is combined with Palbociclib.]
[B01AC24, ticagrelor, The metabolism of Palbociclib can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Palbociclib can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Palbociclib can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Palbociclib.]
[L01CA02, vincristine, The excretion of Vincristine can be decreased when combined with Palbociclib.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Palbociclib.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Palbociclib.]
[A11HA03, vitamin E, The metabolism of Palbociclib can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Palbociclib.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Palbociclib.]
[N05AF05, zuclopenthixol, The metabolism of Palbociclib can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Palbociclib can be decreased when combined with Indinavir.]
