[S02DA03, antipyrine, The metabolism of Ibrutinib can be decreased when combined with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Streptokinase.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Ibrutinib.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Ibrutinib.]
[L04AA27, fingolimod, Ibrutinib may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The metabolism of Ibrutinib can be decreased when combined with Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Sulfinpyrazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Ibrutinib.]
[L02BA01, tamoxifen, The metabolism of Ibrutinib can be decreased when combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Ibrutinib can be decreased when combined with Teniposide.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Ibrutinib can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Ibrutinib can be decreased when combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Ibrutinib can be decreased when combined with Tetracycline.]
[A04AD10, dronabinol, The metabolism of Ibrutinib can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The metabolism of Ibrutinib can be decreased when combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ibrutinib.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Ibrutinib.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Ibrutinib.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Thiotepa is combined with Ibrutinib.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Ibrutinib.]
[N05CA19, thiopental, The metabolism of Ibrutinib can be decreased when combined with Thiopental.]
[N05AC02, thioridazine, The metabolism of Ibrutinib can be decreased when combined with Thioridazine.]
[C01BB04, aprindine, The metabolism of Ibrutinib can be decreased when combined with Aprindine.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Thyrotropin can be decreased when used in combination with Ibrutinib.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Protirelin can be decreased when used in combination with Ibrutinib.]
[B01AC05, ticlopidine, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Ticlopidine.]
[S01ED01, timolol, The metabolism of Ibrutinib can be decreased when combined with Timolol.]
[N02AX02, tramadol, The metabolism of Ibrutinib can be decreased when combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Ibrutinib can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Trapidil.]
[N06AX05, trazodone, The metabolism of Ibrutinib can be decreased when combined with Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Ibrutinib.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Ibrutinib.]
[N05CD05, triazolam, The metabolism of Ibrutinib can be decreased when combined with Triazolam.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Ibrutinib.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Ibrutinib.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Ibrutinib.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Ibrutinib.]
[R06AC04, tripelennamine, The metabolism of Ibrutinib can be decreased when combined with Tripelennamine.]
