[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Oxaliplatin.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Oxaliplatin.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Oxaliplatin.]
[L04AA27, fingolimod, Oxaliplatin may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Oxaliplatin.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Oxaliplatin.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Oxaliplatin.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Oxaliplatin.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Mercaptopurine.]
[L02BA01, tamoxifen, The risk or severity of QTc prolongation can be increased when Tamoxifen is combined with Oxaliplatin.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Oxaliplatin.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Oxaliplatin.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Oxaliplatin.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Oxaliplatin.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Oxaliplatin.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Thalidomide.]
[A11DA01, thiamine, The serum concentration of Oxaliplatin can be increased when it is combined with Thiamine.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Oxaliplatin.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Oxaliplatin.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Oxaliplatin.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Oxaliplatin.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Oxaliplatin.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Oxaliplatin.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Triamcinolone.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Oxaliplatin.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Oxaliplatin.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Trimebutine is combined with Oxaliplatin.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Oxaliplatin.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Oxaliplatin.]
[J01EA01, trimethoprim, The serum concentration of Oxaliplatin can be increased when it is combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Oxaliplatin.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Oxaliplatin.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Oxaliplatin.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Belimumab.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Vandetanib.]
[A10BH05, linagliptin, The serum concentration of Oxaliplatin can be increased when it is combined with Linagliptin.]
[J05AG05, rilpivirine, Rilpivirine may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Oxaliplatin.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Belatacept.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Oxaliplatin.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Rivaroxaban is combined with Oxaliplatin.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Oxaliplatin.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Ticagrelor is combined with Oxaliplatin.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Vincristine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Oxaliplatin.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Oxaliplatin.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Warfarin is combined with Oxaliplatin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Oxaliplatin.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Zuclopenthixol.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The serum concentration of Oxaliplatin can be increased when it is combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Oxaliplatin.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Oxaliplatin.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Ziprasidone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Oxaliplatin.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Oxaliplatin.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ruxolitinib.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Oxaliplatin.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Oxaliplatin.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Oxaliplatin.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Oxaliplatin.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Atropine.]
[L01XJ01, vismodegib, Vismodegib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Oxaliplatin.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Oxaliplatin.]
[G04BE10, avanafil, Avanafil may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Oxaliplatin.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Oxaliplatin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Mirabegron is combined with Oxaliplatin.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Carfilzomib.]
[V03AX03, cobicistat, Cobicistat may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Oxaliplatin.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Aldosterone.]
[L01EX05, regorafenib, Regorafenib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
