[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Bortezomib.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Bortezomib.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Bortezomib.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Streptozocin.]
[L04AA27, fingolimod, Bortezomib may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Bortezomib can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Bortezomib can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Bortezomib.]
[J01EC03, sulfamoxole, The metabolism of Bortezomib can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Bortezomib can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Bortezomib can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Bortezomib can be decreased when combined with Sulfisoxazole.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Sulpiride.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Bortezomib.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Mercaptopurine.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Bortezomib.]
[L02BA01, tamoxifen, The serum concentration of Bortezomib can be increased when it is combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Bortezomib can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Terbutaline.]
[B01AE07, dabigatran etexilate, The serum concentration of Bortezomib can be increased when it is combined with Dabigatran etexilate.]
