[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Diethylstilbestrol.]
[B01AD01, streptokinase, Diethylstilbestrol may decrease the anticoagulant activities of Streptokinase.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, Diethylstilbestrol may increase the thrombogenic activities of Antithymocyte immunoglobulin (rabbit).]
[L04AA27, fingolimod, The metabolism of Fingolimod can be decreased when combined with Diethylstilbestrol.]
[J01CA16, sulbenicillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Sulbenicillin.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Diethylstilbestrol.]
[J01EC01, sulfamethoxazole, Diethylstilbestrol may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M04AB02, sulfinpyrazone, Diethylstilbestrol may decrease the excretion rate of Sulfinpyrazone which could result in a higher serum level.]
[N03AX03, sulthiame, The metabolism of Diethylstilbestrol can be increased when combined with Sulthiame.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Diethylstilbestrol.]
[J01CA15, talampicillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Talampicillin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Diethylstilbestrol.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Diethylstilbestrol.]
[B01AE07, dabigatran etexilate, Diethylstilbestrol may decrease the anticoagulant activities of Dabigatran etexilate.]
[G03BA03, testosterone, Diethylstilbestrol may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[S03AA02, tetracycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Tetracycline.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Diethylstilbestrol.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Diethylstilbestrol.]
[L04AX02, thalidomide, Diethylstilbestrol may increase the thrombogenic activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Diethylstilbestrol.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Diethylstilbestrol.]
[N05CA19, thiopental, The metabolism of Diethylstilbestrol can be increased when combined with Thiopental.]
[J01CA13, ticarcillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Ticarcillin.]
[B01AC05, ticlopidine, The metabolism of Diethylstilbestrol can be decreased when combined with Ticlopidine.]
[P01AB02, tinidazole, Diethylstilbestrol may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Diethylstilbestrol.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Diethylstilbestrol.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Diethylstilbestrol.]
[B02AA02, tranexamic acid, Diethylstilbestrol may increase the thrombogenic activities of Tranexamic acid.]
[L01XF01, tretinoin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be decreased when combined with Diethylstilbestrol.]
[S01AD02, trifluridine, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Trifluridine.]
[D07AC02, fluclorolone, The serum concentration of Fluclorolone can be increased when it is combined with Diethylstilbestrol.]
[R03BA07, mometasone, The serum concentration of Mometasone can be increased when it is combined with Diethylstilbestrol.]
[N03AC02, trimethadione, The metabolism of Diethylstilbestrol can be increased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Diethylstilbestrol can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Diethylstilbestrol.]
[J01FA08, troleandomycin, The metabolism of Diethylstilbestrol can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Diethylstilbestrol.]
[L04AA26, belimumab, Diethylstilbestrol may increase the thrombogenic activities of Belimumab.]
[L01FX04, ipilimumab, Diethylstilbestrol may increase the thrombogenic activities of Ipilimumab.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Diethylstilbestrol.]
[L02BX03, abiraterone, The metabolism of Diethylstilbestrol can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Diethylstilbestrol can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of Diethylstilbestrol can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Diethylstilbestrol can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, Diethylstilbestrol may decrease the anticoagulant activities of Urokinase.]
[N03AX21, ezogabine, The metabolism of Diethylstilbestrol can be increased when combined with Ezogabine.]
[B01AF01, rivaroxaban, Diethylstilbestrol may decrease the anticoagulant activities of Rivaroxaban.]
[B01AC24, ticagrelor, Diethylstilbestrol may decrease the anticoagulant activities of Ticagrelor.]
[C08DA01, verapamil, The metabolism of Diethylstilbestrol can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Diethylstilbestrol can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Diethylstilbestrol.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Diethylstilbestrol.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Diethylstilbestrol.]
[S01XA02, vitamin A, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Vitamin A.]
[A11HA03, vitamin E, The metabolism of Diethylstilbestrol can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Diethylstilbestrol.]
[J05AF01, zidovudine, Diethylstilbestrol may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Diethylstilbestrol.]
[J05AE02, indinavir, The metabolism of Diethylstilbestrol can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The metabolism of Diethylstilbestrol can be increased when combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Diethylstilbestrol.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Diethylstilbestrol.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Diethylstilbestrol.]
[B01AE01, desirudin, Diethylstilbestrol may decrease the anticoagulant activities of Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Diethylstilbestrol.]
[S01XA15, ascorbic acid, The serum concentration of Ascorbic acid can be decreased when it is combined with Diethylstilbestrol.]
[N05AE04, ziprasidone, The metabolism of Diethylstilbestrol can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Diethylstilbestrol.]
[L04AA34, alemtuzumab, Diethylstilbestrol may increase the thrombogenic activities of Alemtuzumab.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Diethylstilbestrol.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Diethylstilbestrol.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Diethylstilbestrol.]
[C07AB03, atenolol, Diethylstilbestrol may decrease the excretion rate of Atenolol which could result in a higher serum level.]
[L01FA01, rituximab, Diethylstilbestrol may increase the thrombogenic activities of Rituximab.]
[J02AC03, voriconazole, The metabolism of Diethylstilbestrol can be decreased when combined with Voriconazole.]
[S01FA01, atropine, Diethylstilbestrol may decrease the excretion rate of Atropine which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Diethylstilbestrol.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Diethylstilbestrol.]
[H02AB11, prednylidene, The serum concentration of Prednylidene can be increased when it is combined with Diethylstilbestrol.]
[J01CA09, azlocillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Azlocillin.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Diethylstilbestrol.]
[L01FX02, gemtuzumab ozogamicin, Diethylstilbestrol may increase the thrombogenic activities of Gemtuzumab ozogamicin.]
[L01FD02, pertuzumab, Diethylstilbestrol may increase the thrombogenic activities of Pertuzumab.]
[V03AX03, cobicistat, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Diethylstilbestrol.]
[L04AA31, teriflunomide, The metabolism of Diethylstilbestrol can be decreased when combined with Teriflunomide.]
[B01AX01, defibrotide, Diethylstilbestrol may decrease the anticoagulant activities of Defibrotide.]
[H02AA01, aldosterone, The serum concentration of Aldosterone can be increased when it is combined with Diethylstilbestrol.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Diethylstilbestrol.]
[N05CA04, barbital, The metabolism of Diethylstilbestrol can be increased when combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Diethylstilbestrol can be decreased when combined with Nelfinavir.]
[N06DA02, donepezil, Diethylstilbestrol may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N03AX22, perampanel, The metabolism of Diethylstilbestrol can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Diethylstilbestrol.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Diethylstilbestrol.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Diethylstilbestrol.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Diethylstilbestrol.]
[B01AF02, apixaban, Diethylstilbestrol may decrease the anticoagulant activities of Apixaban.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Diethylstilbestrol.]
[J06BC02, raxibacumab, Diethylstilbestrol may increase the thrombogenic activities of Raxibacumab.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Diethylstilbestrol can be increased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Diethylstilbestrol.]
[G03XC05, ospemifene, The risk or severity of adverse effects can be increased when Diethylstilbestrol is combined with Ospemifene.]
[M04AB03, benzbromarone, Diethylstilbestrol may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[A06AX06, tegaserod, Diethylstilbestrol may decrease the excretion rate of Tegaserod which could result in a higher serum level.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Diethylstilbestrol.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Diethylstilbestrol.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Diethylstilbestrol.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Diethylstilbestrol.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Diethylstilbestrol.]
[L01EC02, dabrafenib, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Diethylstilbestrol can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Diethylstilbestrol.]
[L01EB03, afatinib, Diethylstilbestrol may decrease the excretion rate of Afatinib which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Diethylstilbestrol.]
[J05AJ03, dolutegravir, Diethylstilbestrol may decrease the excretion rate of Dolutegravir which could result in a higher serum level.]
[C02KX05, riociguat, Diethylstilbestrol may decrease the excretion rate of Riociguat which could result in a higher serum level.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Diethylstilbestrol.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Diethylstilbestrol.]
[N03AF04, eslicarbazepine, The metabolism of Diethylstilbestrol can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[J05AP08, sofosbuvir, Diethylstilbestrol may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The metabolism of Diethylstilbestrol can be increased when combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Diethylstilbestrol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Diethylstilbestrol.]
[A16AA07, metreleptin, The metabolism of Diethylstilbestrol can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Diethylstilbestrol can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Diethylstilbestrol can be increased when combined with Formestane.]
[S03BA03, betamethasone, The serum concentration of Betamethasone can be increased when it is combined with Diethylstilbestrol.]
[B01AE03, argatroban, Diethylstilbestrol may decrease the anticoagulant activities of Argatroban.]
[C10AB02, bezafibrate, The metabolism of Diethylstilbestrol can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Diethylstilbestrol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Diethylstilbestrol.]
[L01FG02, ramucirumab, Diethylstilbestrol may increase the thrombogenic activities of Ramucirumab.]
[B01AC26, vorapaxar, Diethylstilbestrol may decrease the anticoagulant activities of Vorapaxar.]
[L04AA33, vedolizumab, Diethylstilbestrol may increase the thrombogenic activities of Vedolizumab.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Diethylstilbestrol.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Diethylstilbestrol.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Diethylstilbestrol.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Diethylstilbestrol.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Diethylstilbestrol.]
[L01FF02, pembrolizumab, Diethylstilbestrol may increase the thrombogenic activities of Pembrolizumab.]
[J01XA05, oritavancin, The metabolism of Diethylstilbestrol can be increased when combined with Oritavancin.]
[A10BJ05, dulaglutide, Diethylstilbestrol may increase the thrombogenic activities of Dulaglutide.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Diethylstilbestrol.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Diethylstilbestrol.]
[L01FX07, blinatumomab, Diethylstilbestrol may increase the thrombogenic activities of Blinatumomab.]
