[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nilutamide.]
[J01GA01, streptomycin, Nilutamide may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01CG01, sulbactam, Nilutamide may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Nilutamide.]
[J01EC01, sulfamethoxazole, The metabolism of Sulfamethoxazole can be decreased when combined with Nilutamide.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Nilutamide.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Nilutamide.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Nilutamide.]
[R03CC03, terbutaline, Nilutamide may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Nilutamide may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Nilutamide.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Tetracaine.]
[S03AA02, tetracycline, Nilutamide may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Nilutamide.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Nilutamide.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be decreased when combined with Nilutamide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Nilutamide.]
[P02CA02, thiabendazole, Nilutamide may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Nilutamide.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Nilutamide.]
[G04BE06, moxisylyte, Nilutamide may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Nilutamide may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Nilutamide can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Nilutamide.]
[P01AB02, tinidazole, Nilutamide may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Nilutamide may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Nilutamide.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Nilutamide.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N06AF04, tranylcypromine, The metabolism of Nilutamide can be decreased when combined with Tranylcypromine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Nilutamide.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Nilutamide may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Nilutamide may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A03AA05, trimebutine, Nilutamide may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Nilutamide.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Nilutamide.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Nilutamide.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Nilutamide.]
[R03DX07, roflumilast, Nilutamide may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Nilutamide may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
