[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Apalutamide.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Apalutamide.]
[J01GA01, streptomycin, Apalutamide may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01CG01, sulbactam, Sulbactam may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be increased when combined with Apalutamide.]
[J01EC01, sulfamethoxazole, Sulfamethoxazole may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M04AB02, sulfinpyrazone, The metabolism of Sulfinpyrazone can be increased when combined with Apalutamide.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be increased when combined with Apalutamide.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01BB02, mercaptopurine, The excretion of Mercaptopurine can be decreased when combined with Apalutamide.]
[L02BA01, tamoxifen, The serum concentration of Tamoxifen can be increased when it is combined with Apalutamide.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01CB02, teniposide, The serum concentration of Teniposide can be increased when it is combined with Apalutamide.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be decreased when it is combined with Apalutamide.]
[G03BA03, testosterone, The serum concentration of Testosterone can be increased when it is combined with Apalutamide.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Tetracycline can be increased when combined with Apalutamide.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be increased when combined with Apalutamide.]
[A04AD10, dronabinol, The metabolism of Dronabinol can be increased when combined with Apalutamide.]
[N04BC07, apomorphine, The metabolism of Apalutamide can be decreased when combined with Apomorphine.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be increased when combined with Apalutamide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Apalutamide.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Apalutamide.]
[N05CA19, thiopental, The serum concentration of Thiopental can be increased when it is combined with Apalutamide.]
[N05AC02, thioridazine, The serum concentration of Thioridazine can be increased when it is combined with Apalutamide.]
[G04BE06, moxisylyte, Moxisylyte may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05AL03, tiapride, Apalutamide may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The serum concentration of Ticlopidine can be increased when it is combined with Apalutamide.]
[S01ED01, timolol, The serum concentration of Timolol can be increased when it is combined with Apalutamide.]
[P01AB02, tinidazole, The metabolism of Tinidazole can be increased when combined with Apalutamide.]
[S01AA12, tobramycin, Apalutamide may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V04CA01, tolbutamide, The metabolism of Apalutamide can be decreased when combined with Tolbutamide.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Apalutamide.]
[N06AX05, trazodone, The serum concentration of Trazodone can be decreased when it is combined with Apalutamide.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be increased when combined with Apalutamide.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be increased when combined with Apalutamide.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The metabolism of Triazolam can be increased when combined with Apalutamide.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Triethylenetetramine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01AD02, trifluridine, The excretion of Trifluridine can be decreased when combined with Apalutamide.]
[R03BA07, mometasone, The metabolism of Apalutamide can be decreased when combined with Mometasone.]
[A03AA05, trimebutine, The metabolism of Trimebutine can be increased when combined with Apalutamide.]
[N03AC02, trimethadione, The serum concentration of Trimethadione can be increased when it is combined with Apalutamide.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be increased when combined with Apalutamide.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be decreased when it is combined with Apalutamide.]
[J01FA08, troleandomycin, The metabolism of Apalutamide can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be increased when combined with Apalutamide.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be increased when combined with Apalutamide.]
[L01FX04, ipilimumab, Ipilimumab may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Apalutamide.]
[R02AA14, oxyquinoline, Oxyquinoline may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Abiraterone can be increased when combined with Apalutamide.]
[A10BH05, linagliptin, The serum concentration of Linagliptin can be decreased when it is combined with Apalutamide.]
[J05AP03, boceprevir, The metabolism of Apalutamide can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Apalutamide can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be increased when it is combined with Apalutamide.]
[S01AA28, vancomycin, Apalutamide may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ezogabine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[B01AF01, rivaroxaban, The serum concentration of Rivaroxaban can be decreased when it is combined with Apalutamide.]
[R03AC18, indacaterol, The serum concentration of Indacaterol can be decreased when it is combined with Apalutamide.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be increased when combined with Apalutamide.]
[C08DA01, verapamil, The serum concentration of Verapamil can be increased when it is combined with Apalutamide.]
