[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Aminoglutethimide.]
[L02BA01, tamoxifen, The serum concentration of Tamoxifen can be decreased when it is combined with Aminoglutethimide.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Aminoglutethimide.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Aminoglutethimide is combined with Tetracaine.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Aminoglutethimide.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Aminoglutethimide.]
[N05CA19, thiopental, The metabolism of Thiopental can be increased when combined with Aminoglutethimide.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Aminoglutethimide.]
[S01BA05, triamcinolone, The therapeutic efficacy of Triamcinolone can be decreased when used in combination with Aminoglutethimide.]
[S01BA09, clobetasone, The therapeutic efficacy of Clobetasone can be decreased when used in combination with Aminoglutethimide.]
[S01BA10, alclometasone, The therapeutic efficacy of Alclometasone can be decreased when used in combination with Aminoglutethimide.]
[D07AC02, fluclorolone, The therapeutic efficacy of Fluclorolone can be decreased when used in combination with Aminoglutethimide.]
[R03BA07, mometasone, The therapeutic efficacy of Mometasone can be decreased when used in combination with Aminoglutethimide.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be increased when combined with Aminoglutethimide.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be increased when combined with Aminoglutethimide.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Aminoglutethimide.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be increased when combined with Aminoglutethimide.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Aminoglutethimide.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Aminoglutethimide.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Aminoglutethimide.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Aminoglutethimide.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Aminoglutethimide.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Aminoglutethimide.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Aminoglutethimide.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Aminoglutethimide.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Aminoglutethimide.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be increased when combined with Aminoglutethimide.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Aminoglutethimide.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Aminoglutethimide.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Aminoglutethimide.]
[H02AB11, prednylidene, The therapeutic efficacy of Prednylidene can be decreased when used in combination with Aminoglutethimide.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Aminoglutethimide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Aminoglutethimide.]
[H02AA01, aldosterone, The therapeutic efficacy of Aldosterone can be decreased when used in combination with Aminoglutethimide.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Aminoglutethimide.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Aminoglutethimide.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Aminoglutethimide.]
